Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
23,191,109,Aug 04,CLE,,LAA,W3-0,SHO,W(14-6),5,9,3,0,0,1,7,0,1,2.63,32,98,64,19,7,13,10,5,2,0,87,,,0,0,0,30,1,0,0,0,0,0,0.93,0.519,4.78,40.25,60,1t start tie,9t 3 out a3
24,192,114,Aug 09,CLE,,MIN,W5-4,GS-7,,4,7,7,4,4,0,7,1,0,2.74,27,117,77,22,7,8,12,5,0,0,54,,,0,1,0,26,1,0,0,0,1,0,1.02,-0.008,-0.28,17.55,30,1t start tie,7t 3 out tie
25,193,119,Aug 14,CLE,@,CIN,W8-1,GS-7,W(15-6),4,7,5,1,1,2,7,0,0,2.68,26,96,60,20,6,10,7,5,0,0,68,,,0,1,0,24,0,1,0,1,0,0,0.25,0.117,2.49,27.55,51,1b start a 4,7b 3 out a7
26,194,124,Aug 20,CLE,@,BOS,W5-4,GS-7,W(16-6),5,6.1,9,3,3,1,6,0,0,2.74,28,108,65,14,16,8,13,9,1,0,48,,,0,1,0,27,2,0,0,0,0,0,0.79,0.013,0.44,18.25,40,1b start tie,7b --- 1 out a2
27,195,129,Aug 25,CLE,@,KC,L1-7,GS-6,L(16-7),4,5.1,9,5,5,2,6,1,0,2.91,25,88,57,16,11,8,9,6,1,0,34,,,1,0,0,22,2,0,0,2,0,0,0.93,-0.235,-2.88,7.4,19,1b start tie,6b 12- 1 out d4
28,196,134,Aug 31,CLE,,TB,W3-0,GS-7,W(17-7),5,7,2,0,0,2,8,0,0,2.8,24,109,70,21,14,5,9,5,0,0,79,,,0,0,0,22,0,0,0,1,0,0,1.12,0.454,3.72,33.35,57,1t start tie,7t 3 out tie
29,197,139,Sep 05,CLE,,KC,W3-1,GS-7,W(18-7),4,6.2,2,1,1,1,10,0,0,2.75,23,105,68,18,19,5,7,4,1,0,75,,,0,0,0,22,1,1,0,0,0,0,1.04,0.302,2.48,35.2,59,1t start tie,7t 1-- 2 out a1
30,198,144,Sep 10,CLE,@,TB,L5-6,GS-2,,4,1.2,5,4,4,1,4,1,1,2.91,12,55,31,9,9,2,4,2,0,0,32,,,0,0,0,10,1,1,0,0,0,0,0.96,-0.347,-3.78,-0.45,5,1b start a 1,2b 123 2 out d3
31,199,150,Sep 18,CLE,,CWS,W5-3,GS-8,W(19-7),7,8,8,3,3,2,11,2,0,2.93,34,107,75,24,22,12,9,5,1,0,63,,,0,0,0,32,3,0,0,0,0,0,1.07,0.307,1.25,32,60,1t start tie,8t 3 out a2
32,200,156,Sep 24,CLE,@,CWS,W4-0,GS-7,W(20-7),5,7,4,0,0,1,11,0,0,2.83,26,108,75,22,19,7,7,5,1,0,79,,,0,0,0,25,0,0,0,0,0,0,1.09,0.461,3.47,38.75,66,1b start tie,7b 3 out a1
33,201,161,Sep 29,CLE,@,KC,L4-9,GS-5,,4,5,7,3,3,2,6,0,0,2.89,24,80,59,16,15,7,9,4,2,0,45,,,3,0,0,22,1,0,0,0,0,0,1.34,-0.077,-0.47,11.85,24,1b start a 1,5b 3 out tie
,,,,,,,21-12,,W-L:20-7,4.6,215,179,75,69,34,222,25,3,2.89,842,3181,67.00%,18.00%,12.00%,0.85,,26.00%,5.00%,0,61,,---%,4,7,0,801,32,4,0,16,2,8,0.85,3.691,34.91,747.65,1344,,
