Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,84,49,May 28,TEX,,PIT,W5-2,GS-5,W(1-0),99,5.0,3,1,1,1,7,0,0,1.80,19,81,51,18,12,5,6,4,0,0,63,,,2,0,0,18,0,0,0,0,0,0,.85,0.179,1.72,,,1t start tie,5t 3 out a3
2,85,54,Jun 3,TEX,,SEA,W7-3,GS-6,W(2-0),5,5.2,6,3,3,1,5,0,0,3.38,24,88,56,14,10,9,9,4,1,0,49,,,0,0,0,22,2,0,0,0,1,0,.91,0.072,0.02,,,1t start tie,6t 1-- 2 out a3
3,86,59,Jun 8,TEX,,HOU,L1-3,GS-5,,4,5.0,3,1,1,4,7,1,0,2.87,21,76,46,19,7,3,6,3,0,1,60,,,2,0,0,17,1,0,0,0,0,0,1.00,0.181,1.72,,,1t start tie,5t 3 out tie
4,87,92,Jul 16,TEX,@,CHC,L1-3,GS-5,L(2-1),37,4.1,2,2,2,4,9,0,0,3.15,20,90,54,16,13,3,4,2,1,0,56,,,1,0,0,16,1,0,0,0,0,0,1.14,-0.076,-0.41,,,1b start tie,5b 12- 1 out d1
5,88,97,Jul 22,TEX,@,KC,L1-3,GS-6,L(2-2),5,6.0,7,3,2,1,11,1,0,3.12,26,91,59,12,17,4,10,5,1,0,58,,,3,0,0,25,0,1,0,0,0,0,.78,-0.059,0.11,,,1b start tie,6b 3 out d2
6,89,102,Jul 27,TEX,,OAK,L4-6,GS-6,,4,6.0,4,2,2,0,6,1,0,3.09,22,93,64,14,9,8,8,1,1,0,62,,,1,0,0,21,1,1,0,0,1,0,.87,0.133,1.26,,,1t start tie,6t 3 out a1
7,90,107,Aug 2,TEX,@,BAL,L1-5,GS-7,L(2-3),5,6.1,6,3,3,1,9,3,0,3.29,24,94,64,15,13,5,9,5,2,0,57,,,0,0,0,23,0,0,0,2,0,0,.82,0.002,0.35,,,1b start tie,7b --- 1 out d3
8,91,112,Aug 7,TEX,@,HOU,W5-3,GS-7,,4,7.0,5,0,0,0,8,0,0,2.78,26,93,62,16,13,8,10,3,2,0,75,,,0,0,0,26,1,0,0,0,0,0,1.36,0.476,3.34,,,1b start tie,7b 3 out a1
9,92,117,Aug 12,TEX,,DET,W8-5,GS-7,W(3-3),4,6.2,5,4,2,1,5,1,1,2.77,28,107,71,19,11,7,14,6,2,0,56,,,0,0,0,26,2,0,0,0,0,1,.52,0.107,0.47,,,1t start tie,7t -2- 2 out a5
10,93,122,Aug 17,TEX,,OAK,W6-2,GS-8,W(4-3),4,7.0,8,2,2,1,9,2,0,2.75,29,99,65,18,15,4,15,10,0,0,61,,,0,0,0,28,1,0,0,1,0,0,1.18,0.176,1.17,,,1t start tie,8t -2- 0 out a4
11,94,127,Aug 24,TEX,@,CIN,W6-5,GS-6,,6,6.0,4,5,3,5,5,0,1,2.91,28,100,56,15,5,5,12,7,2,0,48,,,0,0,0,21,1,0,1,0,1,0,1.48,-0.241,-2.00,,,1b start tie,6b 3 out tie
12,95,132,Aug 29,TEX,,SEA,W6-3,GS-7,W(5-3),4,6.2,6,3,3,2,9,0,0,3.01,28,110,76,18,13,6,11,4,0,0,57,,,1,0,0,26,1,0,0,0,0,0,.67,0.216,2.28,,,1t start tie,7t 1-3 2 out a5
13,96,137,Sep 4,TEX,,HOU,L6-7,GS-4,L(5-4),5,4.0,7,5,5,3,4,1,0,3.45,22,80,51,11,8,9,6,2,1,0,29,,,1,0,0,19,1,0,0,0,0,0,.92,-0.236,-2.83,,,1t start tie,4t 3 out d5
14,97,142,Sep 9,TEX,@,LAA,W2-1,GS-7,,4,6.2,3,1,1,1,9,0,1,3.28,25,95,61,17,13,10,4,1,1,0,72,,,1,0,0,23,0,1,0,0,0,0,1.33,0.130,2.02,,,1b start tie,7b --3 2 out tie
15,98,149,Sep 17,TEX,,OAK,L2-11,GS-5,L(5-5),7,5.0,7,7,7,4,8,2,0,3.81,26,86,50,16,7,4,10,6,0,0,29,,,0,0,0,21,0,0,0,0,1,0,.66,-0.292,-4.28,,,1t start tie,5t 3 out d7
16,99,155,Sep 24,TEX,@,OAK,W5-0,GS-7,W(6-5),6,7.0,2,0,0,1,9,0,0,3.53,24,99,67,18,18,7,7,3,0,0,81,,,0,0,0,23,0,0,0,0,0,0,.88,0.350,3.41,,,1b start tie,7b 3 out a4
17,100,160,Sep 30,TEX,,TB,W3-1,GS-6,W(7-5),5,6.0,3,1,1,1,12,0,0,3.41,24,97,70,18,17,3,8,4,2,0,73,,,1,0,0,23,1,0,0,0,0,2,1.14,0.248,2.26,,,1t start tie,6t 3 out a1
,,,,,,,10-7,,W-L:7-5,4.8,100.1,81,43,38,31,132,12,3,3.41,416,1579,65%,17%,13%,0.67,,28%,6%,1,58,,---%,13,0,0,378,13,3,1,3,4,3,.97,1.366,10.61,,,,
