Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,306,1,Mar 30,WSH,@,CIN,W2-0,GS-6,W(1-0),99,6,5,0,0,1,10,0,0,0,24,100,67,13,22,6,7,1,2,0,71,,,1,0,0,23,1,0,0,0,0,0,1.32,0.392,2.99,33.9,60,1b start a 1,6b 3 out a1
2,307,6,Apr 04,WSH,@,ATL,L1-7,GS-5,L(1-1),4,5,6,5,2,2,7,1,0,1.64,24,110,71,18,17,3,12,2,2,0,46,,,0,0,0,22,3,0,0,0,0,1,0.67,-0.272,-2.58,16.45,30,1b start tie,5b 3 out d4
3,308,10,Apr 09,WSH,,ATL,W2-0,SHO,W(2-1),4,9,2,0,0,0,10,0,0,0.9,28,102,72,15,16,9,9,2,3,0,93,,,0,0,0,28,0,0,0,1,0,0,0.92,0.558,4.61,48.05,69,1t start tie,9t 3 out a2
4,309,15,Apr 14,WSH,,COL,W6-2,GS-7,W(3-1),4,7,1,2,2,1,11,1,0,1.33,23,103,70,15,21,5,6,0,3,0,77,,,0,0,0,22,0,0,0,0,0,0,0.62,0.127,1.59,36.55,60,1t start tie,7t 3 out a3
5,310,20,Apr 20,WSH,@,LAD,W5-2,GS-6,W(4-1),5,6,4,1,1,3,9,0,2,1.36,26,106,68,18,20,5,7,2,1,0,66,,,0,0,0,21,1,1,0,1,0,0,1.14,0.254,1.84,28.1,54,1b start a 2,6b 3 out a3
6,311,25,Apr 25,WSH,@,SF,W15-2,GS-6,W(5-1),4,6,5,2,2,2,10,0,0,1.62,25,99,74,20,17,4,9,5,1,0,62,,,0,0,0,23,3,1,0,0,0,0,0.5,0.09,0.75,29.3,54,1b start a 3,6b 3 out a8
7,312,30,May 01,WSH,,PIT,W12-4,GS-7,W(6-1),5,6.1,3,2,2,2,8,1,0,1.79,24,106,71,23,10,4,10,3,3,0,65,,,0,0,0,22,1,0,0,0,0,0,0.65,0.292,1.32,27.25,49,1t start tie,7t --- 1 out a10
8,313,35,May 06,WSH,,PHI,W5-4,GS-7,,4,6.1,5,1,1,2,15,0,1,1.74,26,111,71,21,23,1,7,6,1,0,72,,,1,0,0,23,3,0,1,1,0,0,1.31,0.335,2.9,37.45,61,1t start tie,7t -2- 1 out a1
9,314,40,May 11,WSH,@,ARI,W3-1,GS-7,W(7-1),4,7,4,1,1,0,11,1,0,1.69,25,99,72,16,19,3,11,6,2,0,76,,,0,0,0,25,0,1,0,0,0,0,1.15,0.386,2.66,37.35,63,1b start a 1,7b 3 out a1
10,315,45,May 19,WSH,,LAD,L4-5,GS-7,,7,7,5,2,2,3,13,1,0,1.78,29,121,89,32,17,7,6,1,2,0,69,,,1,0,0,26,2,0,0,1,0,0,1,0.13,1.59,32.95,54,1t start tie,7t 3 out a2
11,316,50,May 25,WSH,@,MIA,W9-5,GS-6,W(8-1),5,6,7,4,4,2,4,1,1,2.13,29,114,75,15,13,7,15,4,5,0,44,,,0,0,0,26,2,0,0,0,0,1,1.34,-0.285,-1.42,11.5,30,1b start tie,6b 3 out tie
12,317,55,May 30,WSH,@,BAL,W2-0,GS-8,W(9-1),4,8,2,0,0,1,12,0,0,1.92,27,111,83,14,29,5,9,6,1,0,89,,,0,0,0,26,1,0,0,0,0,0,1.07,0.551,3.93,44.2,72,1b start tie,8b 3 out a2
13,318,60,Jun 05,WSH,,TB,W4-2,GS-8,W(10-1),5,8,5,2,2,0,13,0,0,1.95,28,99,81,17,23,7,8,6,1,0,77,,,0,0,0,28,2,0,0,1,0,0,0.78,0.282,2.1,41,69,1t start tie,8t 3 out a2
14,319,64,Jun 10,WSH,,SF,L0-2,GS-7,L(10-2),4,7,4,2,2,3,9,1,0,2,28,113,72,18,21,7,9,2,4,0,67,,,1,0,0,25,2,0,0,0,0,0,0.82,0.079,1.59,25.55,42,1t start tie,7t 3 out d2
15,320,68,Jun 16,WSH,@,TOR,L0-2,GS-6,L(10-3),5,6,4,2,2,1,10,1,1,2.06,24,108,75,18,15,5,7,2,2,0,65,,,0,0,0,22,0,0,0,0,0,0,0.8,0.023,0.97,25.9,42,1b start tie,6b 3 out d2
16,321,73,Jun 21,WSH,,BAL,W4-2,GS-7,,4,7,5,2,2,1,9,2,0,2.09,27,102,72,15,19,6,11,3,1,0,67,,,0,0,0,26,2,0,0,0,0,0,0.95,0.166,1.59,26.15,42,1t start tie,7t 3 out tie
17,322,78,Jun 26,WSH,@,TB,L0-1,GS-7,L(10-4),4,7,4,1,1,3,4,0,0,2.04,28,104,63,15,9,9,12,4,5,0,66,,,2,0,0,24,0,0,0,0,0,0,0.87,0.213,2.47,17.55,30,1b start tie,7b 3 out d1
18,323,83,Jul 02,WSH,,BOS,L3-4,GS-6,L(10-5),5,6,4,3,3,3,9,0,2,2.16,27,108,74,17,18,2,11,4,3,0,58,,,0,0,0,21,1,0,2,0,0,0,0.93,-0.062,0.07,20.1,36,1t start tie,6t 3 out d2
19,324,88,Jul 07,WSH,,MIA,W18-4,GS-7,W(11-5),4,7,7,4,4,2,3,3,0,2.33,28,109,78,17,15,11,12,2,5,0,48,,,0,0,0,26,0,1,0,2,0,0,0.68,-0.081,-0.41,12.35,30,1t start tie,7t 3 out a9
20,325,93,Jul 12,WSH,@,NYM,W5-4,GS-7,W(12-5),4,7,5,3,3,2,5,2,0,2.41,27,101,7300.00%,1600.00%,1000.00%,6,14,400.00%,400.00%,0,58,,,0,0,0,25,1,0,0,0,0,0,0.99,0.126,0.05,19.55,39,1b start a 2,7b 3 out a2
21,326,98,Jul 22,WSH,,ATL,W6-2,GS-6,W(13-5),9,6,8,2,2,1,7,0,0,2.43,24,107,72,16,18,5,11,6,2,0,54,,,1,1,0,23,1,0,0,1,0,0,1.19,0.177,1.07,22.1,45,1t start tie,6t 3 out a1
22,327,103,Jul 27,WSH,@,MIA,W9-1,GS-8,W(14-5),4,8,3,1,0,1,11,0,1,2.3,31,106,74,22,16,9,9,5,1,0,84,,,0,0,0,29,1,0,0,0,0,2,0.58,0.223,2.44,41,69,1b start a 1,8b 3 out a8
23,328,108,Aug 02,WSH,,CIN,W10-4,GS-6,W(15-5),5,6,4,2,2,2,10,1,0,2.33,24,110,77,14,17,5,7,3,0,0,64,,,0,0,0,22,2,0,0,0,0,0,0.52,0.141,1.07,29.9,54,1t start tie,6t 3 out a5
24,329,113,Aug 07,WSH,,ATL,L1-3,GS-7,,4,7,4,1,1,1,6,1,0,2.28,26,113,83,20,14,7,12,5,3,0,70,,,0,0,0,25,0,0,0,0,0,0,1.13,0.295,2.59,22.75,36,1t start tie,7t 3 out tie
25,330,118,Aug 12,WSH,@,CHC,L3-4,GS-7,,4,7,3,0,0,1,11,0,0,2.19,25,106,71,11,21,5,8,4,3,0,81,,,0,0,0,24,1,0,1,0,0,0,1.11,0.504,3.62,35.35,54,1b start tie,7b 3 out a1
26,331,123,Aug 17,WSH,,MIA,W8-2,GS-6,W(16-5),4,6,5,0,0,1,7,0,0,2.11,22,96,62,19,9,5,9,4,3,0,68,,,0,1,0,21,0,0,0,1,0,0,0.96,0.269,3.07,27.9,51,1t start tie,6t 3 out a5
27,332,128,Aug 23,WSH,,PHI,L0-2,GS-7,L(16-6),5,7,2,2,2,4,10,1,0,2.13,27,109,65,22,15,5,8,1,3,0,71,,,0,0,0,22,0,0,0,0,0,0,1.06,0.078,1.59,28.15,45,1t start tie,7t 3 out d2
28,333,133,Aug 28,WSH,@,PHI,W5-4,GS-5,,4,5,4,3,3,0,5,2,1,2.22,20,99,68,19,8,4,10,1,1,0,52,,,0,0,0,19,0,0,0,0,0,0,0.73,-0.087,-0.53,12.25,21,1b start tie,5b 3 out d3
