Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
23,130,112,Aug 08,NYM,,CIN,W8-0,GS-6,W(6-7),4,6,4,0,0,1,10,0,0,1.77,21,100,66,17,16,4,6,0,1,0,73,,,1,2,0,20,0,0,0,0,0,0,0.99,0.264,2.61,34.5,60,1t start tie,6t 3 out a5
24,131,116,Aug 13,NYM,@,NYY,W8-5,GS-7,W(7-7),4,6.2,5,3,2,2,12,0,0,1.81,27,114,79,19,13,4,9,5,1,0,64,,,0,0,0,25,1,0,0,0,0,0,1.09,0.058,0.61,34.8,62,1b start a 2,7b --- 2 out a4
25,132,122,Aug 18,NYM,@,PHI,W3-1,CG,W(8-7),4,9,7,1,0,0,9,0,0,1.71,32,108,78,24,15,11,12,6,3,0,80,,,1,0,0,32,2,0,0,1,0,0,1.21,0.546,3.44,40.55,66,1b start tie,9b 3 out a2
26,133,127,Aug 23,NYM,,SF,L1-3,GS-6,L(8-8),4,6,4,2,1,4,10,0,0,1.71,25,108,71,21,19,6,5,1,2,0,64,,,1,0,0,21,1,0,0,1,0,0,1.03,-0.002,0.61,26.7,45,1t start tie,6t 3 out d2
27,134,132,Aug 28,NYM,@,CHC,L1-2,GS-8,,4,8,8,1,1,1,10,0,0,1.68,32,109,79,15,22,12,9,5,1,0,71,,,0,0,0,30,0,0,0,1,1,0,1.59,0.347,3.13,30.6,51,1b start tie,8b 3 out tie
28,135,137,Sep 03,NYM,@,LAD,W4-2,GS-6,,5,6,2,1,1,1,6,1,0,1.68,22,109,75,15,16,6,9,2,4,0,69,,,1,0,0,21,0,0,0,1,0,2,0.92,0.206,1.84,21.7,33,1b start tie,6b 3 out tie
29,136,143,Sep 11,NYM,,MIA,L3-5,GS-7,L(8-9),7,7,3,2,2,2,9,0,0,1.71,25,106,75,22,17,8,6,0,2,0,70,,,0,0,0,23,1,0,0,1,0,0,0.82,0.041,1.05,26.75,42,1t start tie,7t 3 out d1
30,137,149,Sep 16,NYM,@,BOS,L3-4,GS-7,,4,7,5,3,3,1,12,1,0,1.78,27,107,73,24,15,3,11,3,0,0,66,,,1,0,0,25,1,0,0,0,1,0,0.89,0.036,0.72,30.15,48,1b start tie,7b 3 out tie
31,138,154,Sep 21,NYM,@,WSH,W4-2,GS-7,W(9-9),4,7,3,1,1,1,8,0,0,1.77,24,98,64,13,11,12,3,0,1,0,74,,,0,0,1,22,0,0,0,0,1,0,0.82,0.261,2.59,31.35,54,1b start a 1,7b 3 out a3
32,139,158,Sep 26,NYM,,ATL,W3-0,GS-8,W(10-9),4,8,2,0,0,0,10,0,0,1.7,25,110,73,16,21,11,4,2,0,0,88,,,1,0,0,25,0,0,0,1,0,0,1.09,0.538,3.48,40.8,66,1t start tie,8t 3 out a1
,,,,,,,14-18,,W-L:10-9,4.4,217,152,48,41,46,269,10,5,1.7,835,3212,69.00%,16.00%,15.00%,0.92,,23.00%,9.00%,0,68,,---%,15,8,1,776,27,3,3,13,5,7,1.14,5.992,53.73,864.95,1455,,
