Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
23,53,112,Aug 7,TOR,@,KC,L1-7,GS-5,L(8-5),5,5.0,7,3,3,2,4,1,0,4.76,23,95,64,14,12,11,6,4,0,0,43,,,1,0,0,21,1,0,0,0,0,0,.88,-0.090,-0.41,,,1b start tie,5b 3 out d3
24,54,118,Aug 14,TOR,,HOU,W9-2,GS-7,W(9-5),6,6.1,5,2,1,0,8,1,1,4.63,26,94,65,16,12,10,7,1,0,0,65,,,0,0,0,25,0,0,0,0,0,1,1.05,0.194,1.35,,,1t start tie,7t --- 1 out a3
25,55,124,Aug 21,TOR,@,CLE,L2-3,GS-8,,6,7.1,7,1,1,1,9,0,0,4.47,28,100,69,15,12,11,7,7,0,0,68,,,0,0,0,27,0,0,0,3,0,0,1.45,0.433,3.14,,,1b start tie,8b --- 1 out a1
26,56,129,Aug 27,TOR,,MIN,W8-7,GS-6,,5,6.0,9,5,5,1,5,0,0,4.58,27,100,68,14,9,16,5,2,1,0,38,,,1,0,0,26,3,0,0,1,0,0,.83,-0.205,-1.89,,,1t start tie,6t 3 out d4
27,57,134,Sep 2,TOR,@,TB,L3-8,GS-6,L(9-6),5,6.0,5,4,3,2,3,1,0,4.58,26,94,62,17,13,15,6,2,2,0,49,,,0,0,0,24,2,0,0,0,0,1,1.21,-0.199,-1.11,,,1b start a 2,6b 3 out d2
28,58,139,Sep 7,TOR,@,NYY,L0-2,GS-5,L(9-7),4,5.0,7,2,2,1,8,1,0,4.55,24,97,62,18,14,6,9,6,1,0,52,,,0,0,0,23,2,0,0,0,0,1,.83,-0.001,0.62,,,1b start tie,5b 3 out d2
29,59,144,Sep 13,TOR,,TB,L2-6,GS-6,L(9-8),5,6.0,4,3,3,4,4,1,0,4.55,23,92,52,12,8,10,5,2,0,0,52,,,0,0,0,19,1,0,0,2,0,0,1.01,-0.065,0.11,,,1t start tie,6t 3 out d3
30,60,149,Sep 18,TOR,@,LAA,L0-4,GS-6,L(9-9),4,6.0,7,2,2,2,3,0,0,4.50,28,106,64,9,12,12,10,7,1,0,51,,,2,0,0,24,1,0,0,0,0,0,1.15,0.023,0.89,,,1b start tie,6b 3 out d2
31,61,154,Sep 24,TOR,,NYY,W3-0,GS-7,,5,7.0,1,0,0,3,5,0,0,4.34,22,97,59,18,8,9,5,1,1,0,77,,,0,1,0,19,0,0,0,2,0,0,1.11,0.449,3.63,,,1t start tie,7t 3 out tie
32,62,159,Sep 29,TOR,,BAL,L0-4,GS-8,L(9-10),4,7.0,9,4,4,2,3,0,0,4.37,32,99,64,15,7,15,12,6,2,0,44,,,1,0,0,29,2,0,0,0,1,0,.85,-0.046,-0.76,,,1t start tie,8t 1-- 0 out d4
,,,,,,,14-18,,W-L:9-10,4.8,204.0,209,104,99,54,166,21,4,4.37,855,3103,64%,17%,9%,1.60,,22%,3%,0,51,,---%,13,5,0,792,44,3,0,22,2,9,.99,0.151,2.80,,,,
