Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
23,145,113,Aug 10,CWS,@,KC,L2-3,GS-8,,5,7.1,4,1,1,1,5,0,0,2.85,28,97,64,16,5,12,10,3,2,0,70,,,0,0,0,26,1,0,0,0,0,1,1.39,0.446,3.45,,,1b start tie,8b -2- 1 out a1
24,146,118,Aug 16,CWS,@,CLE,L1-3,GS-6,L(9-9),5,6.0,7,2,2,2,3,0,0,2.85,26,105,62,13,10,12,9,3,3,0,51,,,2,0,0,24,3,0,0,0,0,0,.91,0.068,1.32,,,1b start tie,6b 3 out d1
25,147,123,Aug 21,CWS,,OAK,W4-2,GS-8,W(10-9),4,7.0,8,2,2,1,6,1,0,2.84,29,99,66,20,9,8,14,9,2,0,58,,,0,0,0,28,2,0,0,1,0,0,1.02,0.126,1.03,,,1t start tie,8t 1-- 0 out a2
26,148,128,Aug 27,CWS,,SEA,W9-3,GS-8,W(11-9),5,7.2,5,2,1,1,8,0,0,2.77,28,104,66,23,9,11,8,5,1,0,70,,,0,0,0,26,2,0,0,0,1,0,.62,0.190,1.68,,,1t start tie,8t 1-- 2 out a7
27,149,133,Sep 1,CWS,@,MIN,L5-8,GS-5,L(11-10),4,5.0,7,7,7,0,8,2,0,3.05,22,86,55,18,8,3,11,3,2,0,33,,,0,0,0,22,0,0,0,0,0,0,.63,-0.397,-4.46,,,1b start tie,5b 3 out d5
28,150,139,Sep 7,CWS,,DET,W7-4,GS-7,,5,6.2,8,4,4,2,7,1,0,3.13,27,116,74,22,9,6,12,7,3,0,47,,,0,0,1,25,1,0,0,1,0,0,1.06,-0.197,-1.18,,,1t start tie,7t -23 2 out d1
29,151,144,Sep 13,CWS,,CLE,W8-1,GS-8,W(12-10),5,8.0,5,1,1,1,6,1,1,3.05,30,101,64,22,3,11,11,4,0,0,73,,,0,0,0,28,3,0,0,1,0,0,.83,0.252,2.90,,,1t start tie,8t 3 out a7
30,152,149,Sep 18,CWS,@,KC,L3-10,GS-4,L(12-11),4,4.0,10,6,6,3,1,1,0,3.26,24,80,49,9,4,8,12,6,2,0,16,,,0,1,0,21,3,0,0,1,0,1,.75,-0.349,-3.93,,,1b start tie,4b 3 out d4
31,153,154,Sep 24,CWS,@,CLE,W8-1,GS-6,W(13-11),5,6.0,6,1,1,3,2,0,0,3.21,25,103,56,13,3,7,13,5,7,0,55,,,2,0,0,22,2,0,0,1,0,0,1.36,0.270,2.32,,,1b start a 2,6b 3 out a3
32,154,159,Sep 29,CWS,,TB,L3-5,GS-6,L(13-12),4,6.0,5,2,2,2,7,1,0,3.20,23,105,70,16,13,6,8,6,0,0,59,,,0,0,0,21,1,0,0,1,0,0,1.00,0.036,0.93,,,1t start tie,6t 3 out d2
,,,,,,,17-15,,W-L:13-12,4.7,208.0,192,76,74,50,181,22,4,3.20,837,3282,63%,18%,8%,0.70,,27%,10%,0,57,,---%,6,3,2,779,46,1,1,18,2,4,1.02,2.654,27.81,,,,
