Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,229,2,Apr 5,BOS,,PIT,W3-0,GS-7,,99,7.0,3,0,0,1,7,0,0,0.00,24,104,69,14,13,6,10,5,0,0,77,,,0,0,0,23,0,0,0,1,0,0,.98,0.463,3.88,27.35,42.00,1t start tie,7t 3 out tie
2,230,6,Apr 10,BOS,@,DET,L1-2,GS-8,L(0-1),4,7.2,5,2,2,1,10,1,0,1.23,29,108,70,21,14,5,13,4,3,0,70,,,0,0,0,28,2,0,0,0,0,0,1.18,0.053,1.72,29.65,47.00,1b start tie,8b -23 2 out d1
3,231,11,Apr 15,BOS,,TB,W2-1,GS-7,W(1-1),4,7.0,3,1,1,3,12,0,0,1.25,26,111,69,24,20,4,7,3,1,0,76,,,0,0,0,23,0,0,0,0,0,0,1.17,0.356,2.88,38.15,66.00,1t start tie,7t 3 out tie
4,232,16,Apr 20,BOS,@,TOR,W4-1,GS-8,,4,8.0,4,0,0,1,13,0,0,0.91,29,102,80,21,19,7,8,3,2,0,86,,,1,0,0,28,0,0,0,1,0,0,1.24,0.576,4.44,41.00,63.00,1b start tie,8b 3 out tie
5,233,21,Apr 27,BOS,,NYY,L0-3,GS-9,L(1-2),6,8.0,8,3,2,0,10,0,1,1.19,31,109,82,17,24,12,8,5,0,0,66,,,0,0,0,28,0,0,0,1,1,0,.98,0.195,0.94,28.60,48.00,1t start tie,9t -23 0 out d2
6,234,26,May 2,BOS,,BAL,W5-2,GS-8,W(2-2),4,8.0,3,2,2,2,11,1,0,1.38,29,115,78,16,17,7,9,4,1,0,77,,,0,0,0,27,1,0,0,0,0,0,1.01,0.298,2.44,37.00,63.00,1t start tie,8t 3 out a3
7,235,31,May 7,BOS,@,MIN,W17-6,GS-6,W(3-2),4,6.0,4,4,4,3,10,0,1,1.92,26,108,70,15,17,3,9,3,1,0,55,,,0,0,0,20,1,0,0,0,2,0,1.35,-0.104,-0.87,24.70,48.00,1b start a 3,6b 3 out a2
8,236,36,May 13,BOS,,TB,W6-3,GS-7,W(4-2),5,7.0,2,3,3,2,12,2,0,2.15,25,111,70,26,15,3,8,2,1,0,71,,,0,0,0,23,0,0,0,0,0,0,.76,0.014,0.88,35.35,60.00,1t start tie,7t 3 out a3
9,237,41,May 19,BOS,@,OAK,L2-3,GS-7,,5,7.0,7,2,2,0,10,0,0,2.19,27,113,77,20,21,6,11,6,2,0,65,,,0,0,0,27,2,1,0,1,0,0,1.42,0.146,1.55,27.55,45.00,1b start tie,7b 3 out tie
10,238,45,May 24,BOS,,TEX,W9-4,GS-8,W(5-2),4,7.1,6,4,3,1,6,1,0,2.34,29,97,63,16,12,10,12,3,1,0,57,,,0,0,0,27,2,0,0,0,1,0,.79,-0.031,-0.13,22.30,43.00,1t start tie,8t 1-- 1 out a4
11,239,51,May 30,BOS,@,CWS,W13-7,GS-5,W(6-2),5,5.0,10,6,5,2,9,1,0,2.77,27,111,73,21,15,7,9,6,0,0,32,,,0,0,0,25,1,0,0,0,0,0,1.08,-0.286,-3.41,16.05,39.00,1b start tie,5b 3 out a4
12,240,56,Jun 4,BOS,@,BAL,W7-3,GS-6,W(7-2),4,6.0,6,3,3,1,9,0,0,2.89,25,110,75,19,18,6,9,7,1,0,56,,,2,0,0,24,4,0,0,1,0,0,1.19,0.053,0.11,25.30,48.00,1b start a 2,6b 3 out a2
13,241,61,Jun 10,BOS,,DET,W11-3,GS-7,W(8-2),5,7.0,9,3,3,0,7,0,0,2.97,30,110,82,15,19,8,15,7,2,0,54,,,0,0,0,30,3,0,0,0,0,0,1.26,0.067,0.88,22.35,45.00,1t start tie,7t 3 out tie
14,242,66,Jun 15,BOS,@,PHI,L0-1,CG(8),L(8-3),4,8.0,4,1,1,1,10,0,0,2.82,29,110,81,21,18,5,13,5,3,0,79,,,0,0,0,28,2,0,0,0,0,0,1.00,0.208,2.96,35.50,51.00,1b start tie,8b 3 out d1
15,243,71,Jun 20,BOS,@,KC,W8-3,GS-9,W(9-3),4,8.1,4,3,3,1,10,2,0,2.85,30,110,79,17,15,10,9,2,2,0,72,,,0,0,0,28,0,0,0,0,0,0,.46,0.150,1.30,33.75,58.00,1b start tie,9b 1-- 1 out a5
16,244,76,Jun 26,BOS,,MIN,W4-1,GS-7,W(10-3),5,6.1,4,1,1,2,9,1,0,2.77,24,108,73,14,23,3,10,5,1,0,68,,,0,1,0,22,0,0,0,0,0,0,1.11,0.213,1.92,30.65,55.00,1t start tie,7t 12- 1 out a1
17,245,81,Jul 1,BOS,@,TOR,W7-1,GS-7,W(11-3),4,7.0,4,0,0,1,11,0,2,2.61,28,116,83,23,15,2,12,5,3,0,79,,,0,0,0,25,1,0,0,0,0,0,.76,0.264,3.88,37.55,66.00,1b start a 2,7b 3 out a5
18,246,86,Jul 6,BOS,@,TB,L1-4,GS-7,L(11-4),4,7.0,7,4,4,0,12,2,0,2.75,28,113,79,22,22,5,11,2,3,0,59,,,1,0,0,28,2,0,0,0,0,0,.94,-0.158,-0.52,27.55,45.00,1b start tie,7b 3 out d3
19,247,91,Jul 15,BOS,,NYY,L1-4,GS-8,,8,7.2,3,0,0,2,13,0,0,2.59,29,118,85,28,20,7,7,2,1,0,84,,,0,0,0,27,2,0,0,0,0,1,1.27,0.547,4.19,40.25,62.00,1t start tie,8t 1-- 2 out a1
20,248,98,Jul 21,BOS,@,LAA,W6-2,GS-6,W(12-4),5,6.0,4,0,0,2,9,0,0,2.48,24,112,72,23,14,4,9,4,2,0,71,,,0,0,0,22,1,0,0,0,0,0,.43,0.144,3.04,31.90,57.00,1b start a 5,6b 3 out a6
21,249,103,Jul 26,BOS,@,SEA,W4-0,GS-7,W(13-4),4,7.0,3,0,0,1,11,0,1,2.37,26,115,75,27,12,4,9,2,4,0,81,,,0,0,0,24,2,0,0,0,0,0,.78,0.314,3.59,38.75,66.00,1b start tie,7b 3 out a4
22,250,108,Aug 1,BOS,,CLE,W12-10,GS-5,,5,5.0,8,7,7,1,5,2,0,2.70,24,94,61,20,7,8,10,3,1,0,27,,,2,0,0,23,2,0,0,0,0,0,1.04,-0.394,-4.23,1.85,9.00,1t start tie,5t 3 out d2
23,251,113,Aug 8,BOS,@,TB,W2-0,GS-8,W(14-4),6,8.0,2,0,0,1,13,0,0,2.57,28,112,80,23,15,6,8,2,1,0,90,,,0,0,0,27,0,0,0,0,0,1,1.42,0.630,3.97,,,1b start tie,8b 3 out a1
24,252,117,Aug 13,BOS,@,NYY,W3-2,GS-7,,4,7.0,4,1,1,2,12,0,0,2.51,27,114,80,26,15,4,9,4,1,0,75,,,2,0,0,25,0,1,0,0,0,0,1.10,0.316,2.85,,,1b start tie,7b 3 out tie
