GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,129.2,,639,1218,1857,,,0.60,,0.19,0.06,0.15,,,90.20,,83.50,72.60,82.90,,
20,133.1,,759,1391,2150,,,0.59,0.17,,0.16,0.09,,,92.80,85.80,,79.50,84.30,,
20,129.2,,590,1278,1868,,,0.49,0.17,0.01,0.08,,0.25,,88.40,81.20,85.80,72.30,,84.20,
20,114,,681,1142,1823,,,0.52,,,0.22,0.26,,,91.70,,,78.80,84.70,,
20,115,,730,1152,1882,,,0.60,,0.09,0.15,0.16,,,92.00,,87.40,74.10,85.20,,
20,113.1,,689,1111,1800,,,0.72,,,0.12,0.17,,,90.60,,,76.70,79.20,,
20,108.2,,693,1061,1754,,,0.66,0.29,,,0.05,,,94.30,82.70,,,83.40,,
21,109.1,,665,1114,1779,,,0.45,0.19,,0.35,0.01,,,87.00,79.90,,79.00,81.80,,
21,119.1,,783,1262,2045,,,0.68,,,0.25,0.07,,,92.00,,,76.00,84.30,,
21,121.2,,723,1286,2009,,,0.69,0.12,,,0.20,,,94.00,86.10,,,86.90,,
21,132,,830,1287,2117,,,0.52,0.12,0.11,0.10,0.15,,,90.30,82.90,87.60,77.40,85.00,,
21,115.2,,712,1186,1898,,,0.55,0.08,0.25,,,0.11,,90.70,76.20,85.90,,,83.30,
21,121,,766,1285,2051,,,0.61,0.22,,0.06,0.11,,,89.80,81.10,,74.30,82.90,,
21,111.2,,595,1144,1739,,,0.62,0.15,,0.08,0.04,0.12,,91.40,84.80,,76.20,83.60,80.90,
21,105.2,,748,1123,1871,,,0.65,0.16,0.00,0.11,0.08,,,93.90,85.60,91.20,80.30,85.00,,
21,105.2,,601,1135,1736,,,0.50,,0.26,0.06,0.17,,,90.00,,87.30,76.90,83.30,,
22,125.2,,801,1308,2109,,,0.54,,,0.36,0.10,,,94.50,,,84.10,88.90,,
22,116,,747,1211,1958,,,0.52,,0.19,0.21,0.09,,,91.10,,88.20,76.60,83.60,,
22,121.1,,640,1186,1826,,,0.55,0.25,,0.11,,0.10,,88.10,82.20,,75.20,,80.30,
22,125,,734,1313,2047,,,0.44,0.09,0.25,0.04,0.18,,,89.50,82.00,86.70,78.00,81.60,,
22,124,,751,1346,2097,,,0.44,0.28,,0.07,0.21,,,89.40,84.10,,74.90,79.30,,
23,127.1,,672,1371,2043,,,0.63,0.01,,0.22,0.14,,,95.40,89.60,,81.90,88.40,,
