GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,113,,812,1159,1971,,,0.55,0.11,0.16,0.02,,0.17,,89.90,79.80,88.60,69.40,,83.10,
20,121.2,,785,1241,2026,,,0.54,0.16,,0.04,0.27,,,93.40,85.60,,74.60,84.80,,
20,119.1,,727,1223,1950,,,0.58,0.05,,0.28,0.09,,,91.20,84.60,,78.50,82.80,,
20,116.1,,657,1169,1826,,,0.64,0.16,,,0.20,,,91.10,80.60,,,83.40,,
20,108.2,,744,1257,2001,,,0.64,0.19,,0.09,0.09,,,90.50,82.50,,76.60,81.90,,
20,101.1,,625,1058,1683,,,0.58,0.08,,0.12,0.22,,,88.30,78.80,,70.90,79.60,,
21,126.2,,847,1269,2116,,,0.59,0.14,,0.14,0.13,,,91.00,82.60,,79.00,83.20,,
21,129,,724,1276,2000,,,0.57,,0.20,0.16,0.07,,,89.00,,83.20,75.30,80.10,,
21,108.1,,678,1093,1771,,,0.63,0.28,,,0.09,,,91.30,80.30,,,81.40,,
21,113,,588,1153,1741,,,0.55,0.14,,,0.31,,,90.50,79.50,,,81.50,,
21,127.2,,826,1346,2172,,,0.55,,0.15,0.18,0.11,,,93.50,,90.60,76.10,87.70,,
22,127.1,,648,1248,1896,,,0.51,,0.23,0.20,0.06,,,90.40,,89.00,76.80,83.30,,
22,135.2,,781,1263,2044,,,0.52,0.18,0.12,0.08,0.11,,,88.60,80.80,88.60,77.00,82.20,,
22,127.2,,804,1381,2185,,,0.36,0.01,0.32,0.25,0.07,,,90.30,82.70,89.20,75.80,83.50,,
23,152.1,,820,1486,2306,,,0.69,0.12,,0.14,0.05,,,88.00,83.90,,76.10,82.60,,
23,130,,844,1366,2210,,,0.62,0.22,,0.02,0.15,,,89.80,79.60,,74.50,83.30,,
23,131,,790,1415,2205,,,0.52,0.20,,0.12,0.16,,,86.10,82.40,,74.40,77.90,,
23,127.2,,769,1200,1969,,,0.82,0.10,,0.08,,,,89.50,85.40,,75.20,,,
23,126.2,,856,1284,2140,,,0.34,,0.34,0.13,0.20,,,90.00,,88.10,75.30,84.40,,
24,142.2,,858,1451,2309,,,0.55,0.35,,0.00,0.10,,,90.80,86.70,,79.00,83.20,,
25,143,,911,1467,2378,,,0.53,,0.13,0.07,0.27,,,86.60,,81.80,73.60,75.50,,
25,143.1,,897,1458,2355,,,0.65,0.09,,0.09,0.17,,,88.80,80.30,,74.00,83.20,,
25,153.2,,972,1647,2619,,,0.57,0.20,0.15,0.01,0.07,0.01,,92.00,81.70,90.20,76.10,81.50,86.20,
26,173.1,,881,1713,2594,,,0.16,,,,,,0.84,83.90,,,,,,75.90
26,146.1,,961,1562,2523,,,0.58,0.15,,0.12,0.14,,,93.40,86.90,,81.00,87.60,,
26,157.2,,798,1678,2476,,,0.49,0.23,,0.16,,0.12,,91.20,84.50,,75.50,,85.00,
26,158,,817,1511,2328,,,0.64,,0.11,0.11,0.15,,,90.80,,88.20,79.20,83.00,,
26,140.1,,968,1479,2447,,,0.48,0.16,0.15,0.11,0.10,,,90.30,85.40,87.80,76.80,85.60,,
26,144,,935,1559,2494,,,0.54,0.15,,0.17,0.15,,,88.70,82.50,,73.50,79.10,,
27,153.2,,1054,1672,2726,,,0.56,0.33,,,0.11,,,93.60,87.40,,,85.70,,
27,162.2,,949,1642,2591,,,0.71,0.18,,0.02,0.09,,,90.60,82.70,,74.60,81.10,,
28,183.2,,1036,1952,2988,,,0.62,0.28,,,0.11,,,94.90,87.90,,,87.40,,
28,173.2,,1073,1737,2810,,,0.54,0.19,,0.09,0.19,,,94.10,90.00,,78.40,82.00,,
28,163.1,,977,1632,2609,,,0.56,,0.20,0.12,0.13,,,90.30,,84.90,73.60,82.70,,
