GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,136.1,,660,1349,2009,,,0.41,0.22,0.06,0.06,0.01,0.25,,91.20,83.10,88.90,73.50,82.60,86.50,
20,115.2,,717,1192,1909,,,0.36,,0.17,0.31,0.17,,,91.90,,89.80,73.20,85.50,,
20,121.1,,657,1192,1849,,,0.52,0.17,,0.10,,0.21,,90.40,81.20,,75.80,,83.80,
20,120.1,,677,1232,1909,,,0.55,0.06,0.16,0.17,0.07,,,93.50,87.70,90.90,83.00,85.90,,
20,113.1,,750,1201,1951,,,0.71,0.07,,,0.04,0.19,,94.80,79.90,,,84.70,83.10,
20,117.2,,685,1132,1817,,,0.40,,0.30,0.10,0.21,,,90.30,,89.30,77.20,81.50,,
20,110,,676,1193,1869,,,0.76,0.11,,0.00,0.13,,,94.60,86.10,,78.50,84.00,,
21,125.2,,705,1354,2059,,,0.31,,0.37,0.15,0.17,,,91.20,,88.50,75.20,84.20,,
21,125,,731,1352,2083,,,0.47,0.23,,0.08,0.21,,,92.10,86.60,,79.10,84.60,,
21,131.1,,698,1264,1962,,,0.62,,,0.14,0.24,,,90.50,,,77.60,79.40,,
21,114.1,,674,1218,1892,,,0.61,,,0.19,0.20,,,91.00,,,77.10,81.20,,
21,117,,718,1186,1904,,,0.49,,0.15,0.12,0.24,,,86.60,,85.60,74.40,80.10,,
22,140.1,,763,1473,2236,,,0.62,0.17,,0.10,0.12,,,93.50,87.00,,79.40,83.80,,
22,144.1,,828,1484,2312,,,0.54,0.21,0.11,0.09,0.04,0.02,,92.40,79.70,88.20,72.70,85.90,89.20,
22,138,,778,1419,2197,,,0.67,0.12,,0.16,0.05,,,95.50,86.50,,83.70,86.80,,
22,137.1,,759,1361,2120,,,0.60,0.11,,0.13,0.16,,,89.20,82.00,,74.00,82.50,,
22,125.2,,777,1240,2017,,,0.57,,0.27,0.12,0.05,,,89.90,,85.00,78.00,84.30,,
22,126.2,,816,1284,2100,,,0.65,0.19,,0.09,0.08,,,91.30,87.00,,80.90,82.00,,
22,120,,882,1310,2192,,,0.59,0.21,,0.03,0.04,0.13,,90.50,82.50,,75.60,82.00,83.50,
22,118.2,,797,1286,2083,,,0.57,0.26,,0.11,0.07,,,91.30,86.90,,74.10,82.10,,
23,145.2,,806,1472,2278,,,0.59,0.22,,0.08,,0.12,,94.20,87.20,,79.60,,86.10,
24,156.1,,848,1572,2420,,,0.60,,,0.22,0.18,,,89.70,,,79.10,82.40,,
24,117.2,,803,1314,2117,,,0.62,0.09,0.09,,0.20,0.01,,90.90,77.00,85.50,,82.90,77.20,
24,143.2,,757,1494,2251,,,0.54,,0.00,0.21,0.25,,,89.50,,85.70,79.00,80.60,,
24,122,,830,1345,2175,,,0.59,0.15,,0.19,0.07,,,92.10,83.20,,76.50,80.40,,
24,128.2,,878,1310,2188,,,0.67,0.15,,0.07,0.11,,,91.30,84.20,,76.00,83.10,,
25,164,,794,1674,2468,,,0.64,0.15,,0.09,0.13,,,87.90,84.20,,72.60,79.30,,
25,156.2,,865,1551,2416,,,0.48,0.01,0.28,0.18,0.06,,,93.50,87.60,89.40,79.10,87.10,,
25,141,,826,1447,2273,,,0.68,,,0.23,0.10,,,93.10,,,77.80,82.90,,
25,154.2,,890,1596,2486,,,0.40,0.32,,0.24,0.05,,,91.60,85.90,,72.90,83.70,,
25,146,,861,1618,2479,,,0.52,,0.15,0.29,0.04,,,89.80,,84.60,77.50,79.50,,
25,145.1,,880,1544,2424,,,0.61,0.15,,0.16,0.08,,,90.30,85.00,,80.80,84.10,,
25,125.1,,862,1332,2194,,,0.82,0.18,,,0.00,,,88.90,80.70,,,73.00,,
26,174,,922,1831,2753,,,0.53,0.19,,,0.29,,,93.80,79.80,,,84.70,,
26,168.2,,976,1651,2627,,,0.64,0.30,,0.06,0.01,,,96.30,86.90,,78.90,89.10,,
26,157,,894,1619,2513,,,0.58,0.15,,0.13,,0.14,,91.00,84.30,,76.50,,83.90,
26,152,,847,1596,2443,,,0.52,0.16,,0.13,0.19,,,90.90,84.40,,72.50,82.10,,
26,157.1,,920,1584,2504,,,0.68,,,0.25,0.07,,,91.10,,,78.00,84.20,,
26,153,,923,1677,2600,,,0.72,0.06,,0.12,0.10,,,92.70,83.70,,77.90,85.50,,
26,153,,971,1620,2591,,,0.50,0.11,0.13,0.12,0.09,0.06,,94.00,81.10,86.00,78.30,83.50,87.50,
26,144.2,,948,1549,2497,,,0.46,0.22,,0.07,0.25,,,89.70,80.30,,75.20,82.60,,
26,143.1,,887,1446,2333,,,0.38,,0.32,0.16,0.14,,,89.90,,87.40,77.30,85.20,,
27,198.1,,835,1887,2722,,,0.55,0.29,,0.14,0.01,,,93.00,87.60,,74.10,88.00,,
27,166.1,,938,1673,2611,,,0.42,,,0.20,0.38,,,91.70,,,80.70,86.90,,
27,158.2,,964,1659,2623,,,0.65,,,0.17,0.18,,,92.00,,,77.50,83.00,,
27,163.1,,870,1668,2538,,,0.68,0.22,,0.10,0.01,,,92.50,84.40,,74.40,85.40,,
27,164.2,,920,1667,2587,,,0.52,0.13,,0.09,0.26,,,93.00,88.00,,80.50,86.90,,
27,159,,978,1663,2641,,,0.49,0.27,,0.14,,0.10,,90.10,81.60,,73.80,,79.60,
27,139.2,,954,1527,2481,,,0.60,0.27,0.00,0.08,0.05,,,92.70,85.70,92.20,79.00,86.00,,
28,179,,791,1751,2542,,,0.48,0.20,,0.03,,0.28,,88.90,80.70,,72.60,,84.40,
28,170.1,,913,1682,2595,,,0.70,,,0.07,0.23,,,86.00,,,72.30,78.50,,
28,165.1,,990,1756,2746,,,0.61,0.26,0.04,0.00,0.09,,,93.40,86.30,89.30,80.50,85.70,,
28,157.1,,837,1660,2497,,,0.48,0.26,,0.16,0.10,,,88.80,82.30,,76.40,82.00,,
28,170.1,,1002,1739,2741,,,0.45,,0.25,0.16,0.11,0.03,,91.60,,87.80,77.40,81.70,85.60,
29,200,,1092,1928,3020,,,0.57,0.21,0.07,,0.15,,,89.70,79.70,86.60,,79.30,,
29,162.1,,1082,1632,2714,,,0.43,0.32,,,0.25,,,92.60,85.30,,,85.60,,
29,173.1,,1005,1760,2765,,,0.59,0.32,,0.05,0.04,,,92.30,82.70,,76.10,85.30,,
29,163,,978,1718,2696,,,0.66,0.27,,0.01,0.06,,,85.30,78.00,,69.50,78.50,,
