GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,111.1,,696,1086,1782,,,0.72,0.12,,0.12,0.04,,,93.00,85.30,,77.80,82.80,,
20,127.2,,737,1199,1936,,,0.60,0.02,,0.36,0.03,,,93.00,86.70,,80.70,85.40,,
20,116,,631,1084,1715,,,0.71,,0.00,0.22,0.07,,,92.80,,90.00,78.20,85.40,,
20,124.1,,679,1179,1858,,,0.58,0.13,,0.05,0.24,,,93.00,84.70,,77.40,85.00,,
20,118,,737,1118,1855,,,0.68,0.12,,0.15,0.06,,,91.90,84.60,,78.00,85.50,,
20,117.2,,818,1094,1912,,,0.57,0.27,0.00,,0.04,0.12,,87.30,80.70,86.30,,77.70,76.40,
20,101,,599,1021,1620,,,0.52,0.13,,0.05,0.30,,,88.90,81.50,,74.60,77.80,,
20,106.2,,662,1106,1768,,,0.59,0.20,0.06,0.13,0.03,,,93.10,86.40,90.40,81.00,86.20,,
20,116,,670,1263,1933,,,0.48,0.06,0.09,0.10,0.28,,,89.40,82.00,85.40,77.40,83.10,,
20,106.1,,748,1128,1876,,,0.45,0.26,,0.13,0.16,,,87.80,82.00,,73.20,80.60,,
21,128,,697,1298,1995,,,0.59,,0.00,0.17,0.25,,,89.20,,85.00,77.30,77.70,,
21,131.1,,705,1301,2006,,,0.57,0.21,,0.10,,0.12,,89.70,84.60,,76.30,,80.90,
22,143.1,,786,1435,2221,,,0.43,,,0.24,0.33,,,91.00,,,79.80,85.90,,
22,135,,628,1381,2009,,,0.46,,0.35,0.15,0.04,0.01,,90.80,,89.70,78.20,82.70,83.50,
22,138.1,,746,1456,2202,,,0.46,,0.17,0.10,0.26,,,89.30,,85.60,72.60,80.00,,
22,132.1,,787,1356,2143,,,0.53,0.20,0.09,0.07,0.13,,,89.50,80.20,88.00,74.50,77.60,,
22,114.1,,908,1244,2152,,,0.70,,0.11,0.09,0.10,,,92.00,,88.40,81.10,83.00,,
23,128.2,,768,1335,2103,,,0.60,0.33,,,0.07,,,95.00,85.40,,,84.30,,
23,130.2,,908,1458,2366,,,0.60,0.09,0.05,,0.22,0.04,,91.80,75.80,86.90,,82.40,75.70,
23,137,,748,1444,2192,,,0.68,0.12,,0.08,0.12,,,91.40,81.80,,72.90,83.70,,
23,144.2,,795,1572,2367,,,0.52,0.07,0.21,0.09,0.10,,,90.70,82.90,86.70,79.70,83.00,,
23,129.2,,769,1351,2120,,,0.55,0.23,,0.11,0.12,,,90.80,85.10,,76.30,84.40,,
23,131.2,,790,1300,2090,,,0.56,0.11,,0.27,0.06,,,92.80,85.50,,80.10,85.60,,
23,133,,835,1383,2218,,,0.60,0.21,,0.10,0.08,,,92.70,84.50,,77.20,86.00,,
24,154.1,,862,1534,2396,,,0.57,0.12,,0.16,0.15,,,86.50,80.70,,71.60,77.90,,
24,143,,837,1506,2343,,,0.49,,0.25,0.18,0.09,,,90.20,,88.10,75.50,83.60,,
24,134.1,,841,1451,2292,,,0.73,,0.04,0.13,0.06,0.04,,91.30,,86.40,79.10,80.80,83.20,
24,155.1,,854,1571,2425,,,0.64,0.24,,0.08,0.04,,,93.10,84.80,,75.00,85.40,,
24,142.1,,785,1441,2226,,,0.53,,0.24,0.13,0.10,,,93.20,,89.70,82.90,84.90,,
24,150,,876,1510,2386,,,0.56,,0.01,0.15,0.28,,,87.70,,82.30,76.10,80.50,,
24,142.2,,788,1468,2256,,,0.56,0.15,,,0.30,,,91.60,84.00,,,84.60,,
24,131,,834,1372,2206,,,0.65,,,0.24,0.11,,,88.60,,,81.40,83.50,,
24,125.1,,874,1447,2321,,,0.56,,0.19,0.21,0.04,,,91.90,,88.80,81.50,86.10,,
25,142.2,,950,1370,2320,,,0.61,0.15,,0.09,0.15,,,89.30,87.10,,78.10,81.40,,
25,138.2,,833,1393,2226,,,0.55,,0.20,0.13,0.13,,,92.30,,89.50,79.30,85.20,,
25,128,,870,1406,2276,,,0.38,0.34,,0.18,0.10,,,83.10,80.10,,70.90,74.10,,
25,139,,938,1453,2391,,,0.59,0.11,0.03,0.18,0.10,,,92.20,85.60,87.10,79.50,81.90,,
26,178.1,,903,1794,2697,,,0.57,0.19,,0.13,0.11,,,95.80,89.90,,83.50,87.20,,
26,161,,942,1554,2496,,,0.41,0.36,,,0.22,,,93.00,86.90,,,86.60,,
26,165.2,,882,1640,2522,,,0.63,0.15,,0.03,0.19,,,94.40,83.10,,78.50,83.80,,
