GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,118,,706,1179,1885,,,0.69,0.27,,,0.04,,,93.70,85.50,,,88.20,,
20,107.2,,599,1164,1763,,,0.45,0.26,0.02,0.13,0.15,,,91.80,83.80,85.90,77.30,84.30,,
20,106,,686,1052,1738,,,0.41,0.19,,0.16,0.24,,,91.80,87.90,,80.30,83.90,,
20,120.2,,788,1178,1966,,,0.60,0.26,,,0.14,,,93.00,85.40,,,85.10,,
20,105,,732,1062,1794,,,0.64,,,0.12,0.24,,,93.70,,,79.10,88.40,,
20,96,,798,1007,1805,,,0.59,,0.26,0.09,0.07,,,93.10,,88.90,78.20,86.40,,
20,109,,671,1071,1742,,,0.42,,0.18,0.13,0.27,,,90.50,,85.90,75.70,86.10,,
20,92,,576,977,1553,,,0.54,,,0.16,0.30,,,86.40,,,73.60,80.70,,
20,106.1,,595,1194,1789,,,0.56,0.17,0.02,0.10,,0.16,,93.10,87.30,90.00,79.40,,85.70,
21,129.2,,737,1316,2053,,,0.34,0.35,,0.23,0.08,,,90.90,85.50,,77.50,83.50,,
21,106.1,,575,1157,1732,,,0.42,0.25,,0.23,0.11,,,91.60,87.00,,80.40,84.30,,
21,107.1,,523,1199,1722,,,0.39,0.12,0.33,0.03,,0.13,,97.20,86.80,92.80,78.80,,88.30,
21,115,,623,1169,1792,,,0.58,0.35,,0.04,0.04,,,93.60,86.90,,80.60,88.30,,
21,109.2,,698,1165,1863,,,0.62,0.12,0.06,0.09,,0.12,,94.00,86.90,90.70,80.90,,84.90,
22,130,,769,1392,2161,,,0.52,0.09,,0.20,0.20,,,94.50,87.70,,81.70,88.10,,
22,126,,784,1299,2083,,,0.37,,,0.47,0.16,,,94.30,,,85.90,87.30,,
22,119.2,,716,1344,2060,,,0.59,,0.12,0.19,0.10,,,91.90,,87.60,78.30,85.10,,
23,136.1,,701,1437,2138,,,0.60,0.14,0.09,0.14,0.04,,,96.20,87.00,91.70,80.30,90.00,,
23,123.1,,825,1390,2215,,,0.52,0.09,0.18,,0.21,,,93.30,84.10,88.90,,87.50,,
23,122.1,,788,1348,2136,,,0.49,0.33,,0.01,0.17,,,90.40,83.80,,75.10,83.60,,
23,112,,744,1282,2026,,,0.58,0.20,0.06,0.12,0.04,,,91.20,85.50,89.90,74.60,84.50,,
23,129.1,,842,1346,2188,,,0.41,0.43,0.15,,0.01,,,91.00,84.50,89.10,,86.40,,
23,112,,735,1336,2071,,,0.68,0.20,,0.01,0.11,,,92.40,83.40,,78.00,83.40,,
23,113,,744,1190,1934,,,0.34,0.17,0.22,0.23,0.04,,,93.30,84.90,93.20,81.90,89.40,,
24,133.2,,732,1340,2072,,,0.38,0.05,0.23,0.09,0.25,,,90.70,83.50,88.30,78.00,81.00,,
24,131.2,,657,1421,2078,,,0.59,0.04,0.01,0.36,0.01,,,89.30,72.80,84.70,74.60,83.70,,
24,123.2,,876,1411,2287,,,0.54,0.25,,0.21,,,,93.70,84.50,,82.60,,,
24,125.1,,777,1389,2166,,,0.59,,,0.28,0.13,,,91.40,,,74.70,84.20,,
24,128,,693,1347,2040,,,0.58,0.25,,0.05,0.11,,,94.30,85.90,,77.50,86.60,,
24,132.1,,746,1406,2152,,,0.61,0.25,,,0.14,,,95.80,86.10,,,88.00,,
24,119.1,,719,1245,1964,,,0.56,0.29,,0.05,0.10,,,87.90,82.90,,77.80,82.70,,
24,139.1,,726,1412,2138,,,0.78,0.08,0.04,,0.11,,,87.40,80.40,86.00,,80.80,,
25,154.1,,821,1591,2412,,,0.54,0.21,,0.10,0.16,,,97.40,92.00,,83.10,90.30,,
25,126.1,,839,1393,2232,,,0.55,,,0.13,0.32,,,90.80,,,80.50,82.90,,
25,131.1,,692,1384,2076,,,0.45,0.33,,0.16,0.03,0.03,,91.20,86.80,,80.50,85.90,87.60,
