GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
29,168.1,,1036,1783,2819,,,0.57,0.37,,,0.07,,,91.80,84.20,,,85.30,,
29,169.1,,1014,1726,2740,,,0.62,0.19,,0.10,0.10,,,92.70,84.60,,75.20,84.70,,
29,161,,1072,1796,2868,,,0.64,,0.06,0.16,0.15,,,92.70,,87.40,76.30,85.50,,
30,188.2,,1053,1806,2859,,,0.62,0.13,,0.11,0.14,,,87.80,81.60,,71.50,79.40,,
30,211,,915,2184,3099,,,0.54,0.01,0.20,0.09,0.16,,,91.70,80.70,86.80,74.40,85.00,,
30,190.1,,1024,2005,3029,,,0.49,,0.28,0.19,0.04,,,90.40,,87.50,74.40,83.60,,
30,179.1,,1084,1779,2863,,,0.59,0.14,,0.12,0.15,,,90.30,83.30,,79.20,83.60,,
30,176.2,,1011,1838,2849,,,0.40,,0.36,0.06,,0.18,,88.50,,84.60,76.00,,83.50,
30,179,,977,1737,2714,,,0.46,0.10,0.24,0.09,0.10,,,89.60,81.00,88.50,77.70,83.60,,
30,190.1,,965,1947,2912,,,0.47,0.11,0.13,0.10,0.18,,,90.40,83.40,86.60,77.40,83.30,,
30,178,,1069,1790,2859,,,0.57,0.35,,,0.07,,,91.70,82.80,,,85.10,,
31,211,,1165,2167,3332,,,0.61,,0.16,0.11,0.12,,,95.50,,89.30,79.00,84.40,,
31,215.1,,1113,2203,3316,,,0.47,,0.18,0.09,0.26,,,91.20,,88.30,75.80,83.30,,
31,177,,1121,1873,2994,,,0.52,,0.07,0.12,0.28,,,91.40,,88.80,77.70,79.80,,
31,189.2,,1121,1935,3056,,,0.57,,0.12,0.18,0.13,,,90.80,,87.90,76.40,83.10,,
31,202.1,,1095,1947,3042,,,0.60,,,0.34,0.06,,,92.30,,,81.60,87.70,,
31,179.2,,1212,1884,3096,,,0.60,0.22,0.05,0.08,0.05,,,89.70,81.80,88.20,73.20,82.40,,
31,188,,1083,1876,2959,,,0.41,0.30,,0.14,0.14,,,87.40,81.70,,72.50,80.90,,
31,202.1,,1093,1968,3061,,,0.37,0.15,0.10,0.11,0.27,,,85.00,79.10,82.90,71.20,78.30,,
31,190,,1045,1988,3033,,,0.48,,0.16,0.11,0.26,,,87.70,,85.80,76.10,80.50,,
31,177.1,,1115,1908,3023,,,0.66,,,0.17,0.17,,,94.40,,,82.20,85.70,,
31,191.1,,1208,1937,3145,,,0.55,0.24,,0.16,0.05,,,92.80,87.00,,78.50,87.10,,
31,195.2,,1037,2020,3057,,,0.48,0.23,,0.10,0.20,,,91.80,85.60,,78.20,84.60,,
31,189.2,,1104,1864,2968,,,0.54,0.28,0.05,0.05,0.08,,,93.50,85.80,92.60,79.20,86.20,,
31,191,,1036,1936,2972,,,0.45,0.24,,0.17,,0.15,,90.00,83.20,,74.90,,80.80,
31,174.2,,1105,1811,2916,,,0.55,0.30,,0.14,0.02,,,89.70,80.80,,72.10,80.10,,
31,176.1,,1002,1826,2828,,,0.67,0.15,,0.04,0.14,,,92.00,85.20,,78.80,83.40,,
31,187.1,,1028,1837,2865,,,0.69,0.11,0.04,,0.16,,,93.30,84.00,88.90,,86.70,,
31,176.2,,1286,1837,3123,,,0.58,0.16,,0.09,0.13,0.05,,92.50,82.90,,77.40,83.50,85.80,
32,219.1,,1159,2186,3345,,,0.51,0.20,,0.14,0.16,,,91.20,86.30,,77.80,85.70,,
32,199.1,,1214,1984,3198,,,0.71,,,0.21,0.08,,,93.10,,,79.80,84.70,,
32,195.2,,996,2093,3089,,,0.63,0.24,,0.12,0.02,,,93.90,86.50,,78.00,86.70,,
32,213.1,,1172,2075,3247,,,0.64,0.08,,0.15,0.13,,,92.10,86.20,,78.70,82.70,,
