"Season","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","G","GS","IP","Balls","Strikes","Pitches","Start-IP","Starting","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)"
"2010","61.4 %","92.1","17.7 %","83.2","4.4 %","88.2","6.9 %","77.5","7.3 %","82.6","2.1 %","84.8","0.3 %","71.4","1.9 %","13926","0","14244.1","90345","148656","239001","","","48.6 %","","4.2 %","1.6 %","0.0 %","6.4 %","18.5 %","7.1 %","0.0 %","","8.3 %","0.0 %","0.2 %","0.0 %","92.4","90.9","89.2","85.1","84.8","90.9","83.5","77.8","81.4","","82.8","65.9","70.3"
"2011","60.6 %","92.3","18.0 %","83.1","5.3 %","88.4","6.9 %","77.9","6.8 %","83.1","2.4 %","84.5","0.1 %","66.3","1.3 %","13893","0","14228.0","88508","148440","236948","","","44.0 %","","4.4 %","1.7 %","0.1 %","9.0 %","19.7 %","6.9 %","0.0 %","0.0 %","7.2 %","0.0 %","0.1 %","0.0 %","92.6","91.6","89.8","84.5","78.8","90.9","83.4","78.0","82.0","56.5","83.4","66.4","66.2"
"2012","60.9 %","92.5","18.2 %","83.0","4.2 %","87.9","8.0 %","78.0","6.3 %","83.4","2.4 %","84.8","0.0 %","77.2","1.0 %","14524","0","14737.2","89981","154283","244264","","","37.3 %","","4.3 %","1.7 %","0.0 %","11.4 %","19.9 %","7.7 %","0.0 %","0.0 %","6.6 %","0.0 %","0.0 %","0.0 %","92.9","92.3","90.0","84.7","79.8","90.7","83.1","78.0","80.8","53.7","83.5","74.6","76.2"
"2013","60.6 %","92.5","17.8 %","83.2","5.5 %","88.4","7.3 %","78.3","6.8 %","83.5","2.0 %","84.3","0.1 %","75.9","1.0 %","14336","0","14977.0","90333","156186","246519","","","38.4 %","","5.1 %","1.4 %","0.2 %","9.1 %","19.2 %","7.3 %","0.4 %","0.0 %","6.8 %","0.0 %","0.0 %","0.0 %","92.9","92.2","90.0","83.9","87.0","90.9","83.4","78.4","79.6","67.1","83.4","76.0","75.3"
"2014","60.3 %","92.5","17.3 %","83.3","5.7 %","88.5","7.0 %","78.5","7.5 %","83.4","2.2 %","84.1","0.1 %","72.3","1.0 %","14460","0","14621.2","87481","152851","240332","","","37.3 %","","4.9 %","1.5 %","0.1 %","9.5 %","17.7 %","6.9 %","1.5 %","0.0 %","7.5 %","","0.1 %","0.0 %","93.0","92.3","90.0","83.8","87.7","90.6","83.7","78.6","81.6","67.7","83.2","","72.5"
"2015","59.7 %","92.9","18.8 %","83.7","5.0 %","88.5","6.5 %","79.0","8.2 %","83.4","1.7 %","84.4","0.1 %","73.9","0.9 %","15106","0","15184.1","90752","159132","249884","","","40.7 %","","4.8 %","1.4 %","0.1 %","7.0 %","18.4 %","6.1 %","1.8 %","0.0 %","8.1 %","","0.1 %","0.0 %","93.2","92.8","89.5","83.8","86.6","90.8","84.0","78.9","82.1","68.5","83.2","","73.9"
"2016","58.6 %","93.0","18.6 %","84.0","5.3 %","88.8","7.9 %","79.2","8.3 %","83.5","1.4 %","84.4","0.1 %","70.1","0.9 %","15303","0","15893.2","97671","168472","266143","","","40.3 %","","4.8 %","1.2 %","0.1 %","6.9 %","18.3 %","7.2 %","1.8 %","0.0 %","8.3 %","","0.1 %","0.0 %","93.4","92.8","89.7","84.4","86.3","90.8","84.3","78.9","81.3","60.2","83.4","","68.8"
"2017","57.2 %","93.7","19.5 %","84.3","6.2 %","89.3","7.4 %","79.8","8.0 %","84.3","1.7 %","84.5","0.0 %","75.0","0.8 %","15657","0","16469.2","100465","175859","276324","","","39.2 %","","5.3 %","1.6 %","0.1 %","6.7 %","19.6 %","6.3 %","2.0 %","","8.1 %","","0.0 %","0.0 %","94.0","93.5","89.8","84.4","86.1","91.7","84.7","79.3","81.9","","84.4","","70.7"
