"Season","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","G","GS","IP","Balls","Strikes","Pitches","Start-IP","Starting","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)"
"2010","60.9 %","92.0","19.3 %","83.1","3.5 %","88.3","7.2 %","77.4","7.3 %","82.2","1.8 %","83.6","0.1 %","70.2","1.8 %","7782","0","7758.0","49459","81300","130759","","","46.0 %","","3.6 %","1.3 %","0.0 %","7.9 %","20.0 %","6.9 %","","","8.5 %","0.1 %","0.1 %","0.0 %","92.2","91.3","88.7","84.4","84.8","91.2","83.2","77.7","","","82.5","65.9","69.9"
"2011","60.2 %","92.3","18.4 %","83.2","4.7 %","88.5","7.3 %","78.2","6.9 %","83.1","2.5 %","84.2","0.0 %","75.9","1.4 %","7789","0","7697.0","47793","79914","127707","","","42.0 %","","3.6 %","1.7 %","0.2 %","11.1 %","20.1 %","6.8 %","","0.0 %","7.5 %","0.0 %","0.0 %","0.0 %","92.6","91.5","89.8","84.7","78.8","91.1","83.3","78.3","","56.5","83.4","66.4","75.3"
"2012","60.3 %","92.3","18.4 %","82.9","4.3 %","88.1","8.2 %","78.1","6.2 %","83.0","2.5 %","84.9","0.0 %","77.2","1.0 %","7927","0","7795.0","48390","81858","130248","","","35.1 %","","4.8 %","2.1 %","0.0 %","13.0 %","20.5 %","7.4 %","","","6.4 %","","0.0 %","0.0 %","92.8","91.9","89.6","85.2","79.8","91.0","82.9","77.8","","","83.2","","77.1"
"2013","61.4 %","92.2","18.5 %","82.9","4.9 %","88.2","6.5 %","78.5","6.6 %","82.8","2.1 %","85.0","","","1.1 %","7323","0","7494.2","44839","77699","122538","","","38.0 %","","4.8 %","1.8 %","","11.0 %","20.9 %","5.9 %","0.6 %","0.0 %","6.6 %","","0.0 %","0.0 %","92.7","92.1","89.7","85.2","","90.8","83.3","78.1","79.4","56.1","82.8","","71.1"
"2014","61.6 %","92.7","16.8 %","83.4","5.6 %","88.3","7.0 %","77.9","7.4 %","83.5","1.8 %","84.8","","","1.0 %","7234","0","7223.1","43247","75331","118578","","","37.8 %","","4.5 %","0.9 %","","10.9 %","17.6 %","7.0 %","1.1 %","0.0 %","7.6 %","","0.0 %","0.0 %","93.1","92.2","90.1","85.3","","90.9","83.8","78.1","79.9","63.1","83.3","","73.5"
"2015","61.0 %","93.0","18.7 %","83.9","4.5 %","88.5","6.4 %","78.9","8.2 %","83.8","1.2 %","85.6","","","0.9 %","7780","0","7690.2","46232","80357","126589","","","40.7 %","","4.2 %","0.9 %","","8.2 %","18.9 %","5.9 %","1.4 %","0.0 %","8.1 %","","0.0 %","0.0 %","93.4","92.8","88.9","84.6","","91.4","84.2","78.9","81.4","68.5","83.7","","68.5"
"2016","59.9 %","93.1","18.8 %","84.3","4.4 %","88.9","7.5 %","78.9","8.2 %","84.3","1.3 %","85.7","0.0 %","62.2","1.0 %","8002","0","8099.1","50654","86230","136884","","","41.6 %","","4.1 %","1.0 %","0.0 %","7.1 %","19.2 %","6.7 %","1.4 %","0.0 %","8.2 %","","0.0 %","0.0 %","93.5","92.8","89.2","86.1","80.1","91.4","84.6","78.7","79.8","60.2","84.1","","60.5"
"2017","58.6 %","93.9","19.0 %","84.3","5.7 %","89.3","6.8 %","79.2","7.9 %","85.0","2.0 %","84.6","0.0 %","75.0","0.8 %","7921","0","8205.2","50403","87841","138244","","","41.6 %","","5.0 %","2.0 %","0.2 %","5.9 %","19.6 %","5.9 %","1.6 %","","7.8 %","","0.0 %","0.1 %","94.2","93.5","90.0","84.8","86.1","92.0","84.7","78.8","81.3","","84.9","","71.7"
