GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,120,,715,1160,1875,,,0.48,,0.20,0.21,0.11,,,88.90,,86.30,77.10,83.10,,
20,120.1,,788,1314,2102,,,0.55,0.28,,0.06,0.11,,,95.10,87.60,,78.30,86.60,,
20,123.2,,678,1237,1915,,,0.53,0.19,,0.06,0.23,,,88.50,83.10,,78.00,80.30,,
20,105.1,,745,1210,1955,,,0.64,0.03,,0.20,0.14,,,93.30,80.80,,75.50,83.60,,
20,108.2,,775,1177,1952,,,0.53,0.00,,0.21,0.26,,,93.60,82.00,,78.60,83.30,,
21,125,,727,1309,2036,,,0.67,0.21,,0.05,0.08,,,90.20,85.40,,76.10,83.30,,
21,131.2,,661,1435,2096,,,0.67,0.14,,0.15,0.05,,,91.00,83.30,,80.70,82.40,,
21,125,,720,1352,2072,,,0.64,0.05,,0.18,0.13,,,90.80,84.10,,79.00,80.10,,
21,124.2,,710,1255,1965,,,0.58,0.11,,0.12,0.20,,,92.50,83.90,,79.70,85.50,,
22,130,,796,1373,2169,,,0.54,0.28,,0.15,0.04,,,91.20,81.80,,74.30,81.10,,
22,132,,734,1372,2106,,,0.57,0.21,,0.13,,0.09,,92.20,86.60,,77.30,,86.60,
22,119.1,,837,1260,2097,,,0.60,0.17,,0.16,0.07,,,92.40,86.00,,77.50,86.50,,
23,152,,815,1472,2287,,,0.57,0.20,,,0.23,,,89.10,79.20,,,83.40,,
23,139,,731,1428,2159,,,0.61,0.11,,0.10,0.19,,,91.40,84.20,,70.80,82.10,,
23,135.1,,775,1375,2150,,,0.61,0.07,,0.24,,0.09,,91.10,84.30,,78.20,,83.60,
23,132,,782,1270,2052,,,0.52,0.22,0.11,,0.15,,,89.30,84.10,86.70,,82.00,,
23,135.1,,851,1325,2176,,,0.49,0.22,0.10,,0.18,,,88.10,81.60,85.60,,81.40,,
23,137.1,,727,1430,2157,,,0.09,,,0.02,,,0.89,72.90,,,59.20,,,65.80
24,156,,900,1494,2394,,,0.56,0.18,0.08,0.09,0.09,,,93.40,84.20,90.10,79.50,83.60,,
24,140.1,,744,1491,2235,,,0.68,,,0.06,0.26,,,87.40,,,69.40,76.30,,
24,129.1,,802,1426,2228,,,0.57,,0.04,0.31,0.09,,,90.80,,89.70,77.30,78.20,,
24,145.2,,955,1509,2464,,,0.53,0.13,0.20,0.04,,0.09,,90.20,79.20,89.60,70.40,,83.30,
24,132,,951,1276,2227,,,0.52,0.29,,,0.20,,,91.80,85.50,,,84.20,,
24,137.2,,759,1315,2074,,,0.63,0.18,,0.12,0.08,,,87.60,84.30,,77.10,82.60,,
25,170.2,,783,1716,2499,,,0.42,0.02,0.36,0.17,0.02,,,90.90,82.30,90.20,79.80,84.00,,
25,145.2,,853,1418,2271,,,0.36,0.24,,0.10,0.08,0.23,,87.20,80.60,,71.90,80.00,79.10,
25,141.2,,862,1555,2417,,,0.61,0.20,,0.10,0.10,,,92.00,82.90,,73.90,80.10,,
25,155,,896,1624,2520,,,0.44,0.29,,0.11,0.16,,,85.80,83.10,,72.00,77.20,,
25,136.2,,949,1381,2330,,,0.75,,0.01,0.18,0.07,,,92.90,,87.40,78.90,81.80,,
25,133.2,,811,1447,2258,,,0.72,0.11,,0.04,0.13,,,89.90,83.80,,77.40,83.20,,
26,161.1,,798,1666,2464,,,0.61,0.24,,0.13,0.02,,,93.40,86.40,,77.90,85.70,,
26,154.2,,732,1497,2229,,,0.54,0.17,0.02,0.15,0.13,,,88.80,79.10,85.90,70.50,80.40,,
26,162.1,,908,1548,2456,,,0.52,0.17,,0.13,0.18,,,87.40,81.70,,72.10,81.70,,
26,161,,868,1588,2456,,,0.46,0.18,,0.22,0.15,,,90.50,84.30,,79.70,83.80,,
