Name,Team,GS,IP,Balls,Strikes,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv
Matt Moore,- - -,149,831.1,5190,8963,14153,59.7,92.80,,,5.3,89.40,19.5,81.00,15.6,84.20,,,,
Bruce Chen,- - -,106,606,3465,6565,10030,44.7,85.90,27.3,82.30,,,12.6,73.00,15.4,77.10,,,,
Brian Burres,Pirates,15,77.2,526,784,1310,59.9,88.20,11.9,81.60,,,20.2,75.00,8.0,80.20,,,,
Cody Anderson,Indians,24,133.1,684,1324,2008,58.1,92.80,9.6,89.00,2.3,90.60,7.1,80.50,23.0,84.30,,,,
Chris Tillman,Orioles,193,1072.1,7043,11456,18499,60.5,91.20,0.9,82.70,9.5,85.50,15.2,75.70,13.9,82.50,,,,
Dave Bush,- - -,34,185,1149,2009,3158,51.4,86.50,12.4,80.30,7.3,82.90,22.7,68.40,6.2,80.40,,,,
Luke Weaver,Cardinals,43,220.1,1369,2472,3841,58.7,93.30,,,5.3,87.30,11.5,80.40,24.6,84.80,,,,
Blake Beavan,Mariners,44,264,1332,2698,4030,64.3,90.70,17.8,79.60,0.1,82.30,12.1,74.30,5.8,82.10,,,,
Thomas Pannone,Blue Jays,6,35.2,210,363,573,63.5,88.00,,,,,18.3,70.10,18.2,81.90,,,,
Erik Bedard,- - -,89,461.2,2989,5123,8112,51.0,89.60,,,12.7,88.00,25.5,76.00,10.6,75.90,0.1,79.90,,
Randy Wolf,- - -,104,631.2,3874,6637,10511,52.5,88.30,18.5,82.20,,,18.2,67.60,10.9,78.20,,,,
John Danks,White Sox,156,969,5592,10189,15781,47.8,90.20,,,20.6,86.50,7.9,75.00,23.7,81.20,,,,
Zach McAllister,Indians,68,357.1,2202,3978,6180,71.4,91.90,6.1,85.10,1.6,86.40,12.3,79.20,7.2,81.10,1.4,83.40,,
Taylor Jungmann,Brewers,27,144,996,1539,2535,67.6,91.50,,,,,26.4,75.80,6.1,84.20,,,,
Heath Fillmyer,Royals,13,71,449,700,1149,52.2,92.60,20.8,84.10,,,11.8,79.40,15.2,85.40,,,,
Freddy Garcia,- - -,83,459.1,2690,4544,7234,34.3,87.40,25.9,80.40,,,8.6,71.60,13.1,80.70,18.1,79.30,,
Dinelson Lamet,Padres,21,114.1,734,1207,1941,55.0,95.00,40.0,85.70,,,,,5.1,90.00,,,,
Jonathan Sanchez,- - -,71,370.1,2647,3949,6596,63.3,90.00,18.1,80.50,,,,,18.6,82.10,,,,
Kip Wells,Padres,7,37.1,267,371,638,48.6,89.80,16.8,82.10,5.0,88.90,16.8,77.10,12.7,84.20,,,,
Vince Velasquez,- - -,76,386.2,2340,4249,6589,65.4,93.90,11.7,84.40,,,13.9,80.80,9.1,87.50,,,,
Robert Gsellman,Mets,29,156.2,962,1666,2628,63.2,92.90,16.5,88.50,,,11.3,80.30,9.0,85.40,,,,
Jeff Suppan,- - -,21,107.2,686,1029,1715,54.7,86.60,18.4,82.70,,,12.8,71.00,14.2,79.80,,,,
Antonio Senzatela,Rockies,33,184,1158,1881,3039,68.7,94.00,19.1,82.80,,,5.4,78.20,6.8,86.10,,,,
Ricky Nolasco,- - -,223,1326,7599,13701,21300,48.0,90.50,26.7,82.30,,,13.8,74.40,,,11.6,81.10,,
Chase Whitley,- - -,17,82,483,875,1358,45.3,90.20,27.8,84.40,,,3.1,76.20,23.9,83.10,,,,
Chris Rowley,Blue Jays,3,13.2,93,134,227,57.3,88.60,21.2,82.10,,,,,21.6,81.20,,,,
Kevin Millwood,- - -,68,406,2517,4124,6641,55.5,89.50,20.3,83.40,9.9,89.40,8.0,71.80,6.4,81.80,,,,
Travis Blackley,- - -,18,93.2,547,921,1468,50.1,90.30,17.4,86.00,,,15.7,75.60,16.8,81.00,,,,
Adam Conley,Marlins,56,292.2,1819,3131,4950,65.0,90.60,17.1,84.90,,,0.5,78.80,17.4,82.70,,,,
Jeremy Hefner,Mets,36,199,1159,2076,3235,55.1,90.50,20.6,85.40,,,11.5,75.80,12.9,84.30,,,,
Brett Cecil,Blue Jays,57,346.2,1965,3490,5455,50.4,89.30,18.5,84.20,0.0,85.00,8.8,77.70,22.3,81.10,,,,
Edwin Jackson,- - -,195,1149,7183,11665,18848,54.1,93.50,28.4,86.10,6.5,91.30,4.7,79.10,6.3,86.40,,,,
Felix Doubront,- - -,85,464,3097,4963,8060,61.8,91.20,,,9.9,86.60,13.8,75.30,14.6,83.70,,,,
Tyler Mahle,Reds,27,132,879,1561,2440,67.6,92.50,20.9,83.50,,,0.9,77.20,10.7,83.50,,,,
Wade Davis,- - -,82,477.1,2966,5096,8062,65.8,91.90,7.5,85.90,5.6,88.80,17.2,79.80,4.0,85.50,,,,
Matt Andriese,- - -,49,236.2,1331,2530,3861,46.8,91.70,,,14.9,86.40,13.0,80.50,25.3,85.60,,,,
Barry Zito,- - -,101,566.1,3577,5888,9465,43.4,84.40,24.5,79.40,,,19.2,71.50,12.9,74.80,,,,
Jake Thompson,Phillies,18,95,668,966,1634,50.3,91.30,20.6,83.20,9.9,90.00,2.8,79.10,16.3,84.50,,,,
Odrisamer Despaigne,- - -,47,259.2,1599,2702,4301,56.1,91.20,1.5,82.20,16.8,86.40,15.1,73.00,10.5,76.80,,,,
Aaron Laffey,- - -,24,122,833,1212,2045,55.3,85.80,5.8,77.50,24.3,84.80,2.7,74.40,11.9,80.20,,,,
Roberto Hernandez,- - -,134,793.2,4737,7985,12722,63.9,91.60,14.6,85.40,,,,,21.5,84.60,,,,
Jon Gray,Rockies,89,491.1,2896,5212,8108,54.4,95.10,28.8,88.40,,,12.0,79.30,4.8,85.50,,,,
Colin Rea,- - -,25,133.1,887,1380,2267,59.9,91.80,0.0,84.00,17.5,87.10,17.7,78.00,,,4.9,83.70,,
Marco Gonzales,- - -,43,228,1240,2442,3682,40.0,90.20,0.3,82.50,15.4,87.10,19.8,77.90,24.5,82.90,,,,
Jeff Locke,- - -,117,650.2,3955,6578,10533,63.6,90.80,1.0,83.70,,,14.2,79.00,21.2,80.90,,,,
Trevor Bell,Angels,7,36.2,223,372,595,63.3,92.00,22.8,84.20,,,0.7,78.00,13.2,85.10,,,,
Martin Perez,Rangers,128,738.1,4384,7371,11755,60.5,92.50,10.2,84.80,,,9.7,78.70,19.6,84.40,,,,
Randy Wells,Cubs,59,345,2160,3421,5581,52.7,89.00,25.2,83.20,4.4,85.60,,,17.8,82.70,,,,
Josh Tomlin,Indians,144,845.1,4177,8568,12745,41.9,88.30,0.6,81.90,32.6,85.40,16.2,74.90,8.7,82.00,,,,
Samuel Deduno,- - -,44,238.1,1593,2403,3996,59.2,90.10,5.3,82.20,,,24.2,80.90,11.4,84.00,,,,
Vin Mazzaro,- - -,28,153.2,987,1574,2561,59.4,91.40,25.5,84.60,,,5.5,79.40,9.7,85.10,,,,
Fernando Romero,Twins,11,55.2,359,602,961,63.4,95.40,24.7,86.80,,,,,11.9,90.30,,,,
Nick Tepesch,- - -,44,234,1440,2410,3850,54.2,90.20,,,26.1,85.10,15.1,78.10,4.6,84.10,,,,
Miguel Diaz,Padres,3,7.2,63,92,155,78.1,96.00,11.0,81.60,,,5.8,77.60,5.2,88.10,,,,
Ryan Yarbrough,Rays,6,28.2,159,300,459,34.9,89.20,6.3,78.90,29.2,87.40,,,29.6,81.20,,,,
Chi Chi Gonzalez,Rangers,13,70.2,463,736,1199,64.6,91.30,20.1,86.40,,,5.8,79.40,9.4,86.00,,,,
Mike Bolsinger,- - -,41,212,1277,2211,3488,50.1,87.60,15.2,80.00,,,33.2,79.20,1.5,82.90,,,,
Mike Pelfrey,- - -,176,970,6419,10204,16623,68.5,92.40,10.4,84.20,0.7,87.80,6.6,73.60,,,13.7,83.10,,
Corey Oswalt,Mets,12,55.1,309,569,878,67.5,90.30,,,0.5,86.50,16.9,80.50,15.2,83.50,,,,
Nelson Figueroa,- - -,16,85.2,580,955,1535,52.1,87.50,27.2,81.20,,,14.0,73.50,6.7,80.50,,,,
Lucas Harrell,- - -,71,390,2791,4119,6910,68.7,92.10,0.9,87.40,11.6,88.20,9.6,81.80,9.2,83.00,,,,
Yonny Chirinos,Rays,7,32.1,178,320,498,59.0,93.20,19.5,87.20,,,,,,,21.5,84.90,,
Alfredo Aceves,Red Sox,10,51.1,347,530,877,45.3,91.40,,,20.1,89.40,17.8,81.10,13.2,83.40,3.5,85.90,,
Carlos Torres,- - -,11,60.2,363,641,1004,39.8,90.50,,,43.5,88.20,12.6,77.40,4.1,83.40,,,,
Taylor Jordan,Nationals,15,83.1,448,854,1302,60.3,91.00,18.8,83.20,,,,,20.9,82.40,,,,
Jenrry Mejia,Mets,18,89,563,971,1534,65.4,92.20,12.8,83.50,,,11.5,78.80,10.4,86.50,,,,
Ty Blach,Giants,39,225.1,1280,2253,3533,60.2,90.00,5.1,79.60,,,11.4,76.00,23.3,80.00,,,,
Tommy Hunter,- - -,53,312.1,1602,3150,4752,54.1,91.10,0.0,84.00,23.4,87.80,16.2,77.40,6.3,83.70,,,,
Cesar Ramos,- - -,12,53,344,530,874,50.3,89.70,20.1,82.80,,,11.6,68.70,18.0,83.20,,,,
Derek Lowe,- - -,88,499.2,3309,5080,8389,58.6,88.20,19.0,80.50,7.5,85.80,,,14.9,83.50,,,,
Steven Brault,Pirates,16,75.2,541,800,1341,66.4,91.30,18.6,83.50,,,2.0,76.70,13.0,84.90,,,,
Cole DeVries,Twins,18,92.2,584,1006,1590,57.0,89.60,18.5,83.20,,,14.8,73.50,9.7,82.20,,,,
Kyle Kendrick,- - -,162,938,5331,9335,14666,51.0,89.70,,,24.9,86.70,4.5,78.10,19.6,82.00,,,,
Jimmy Yacabonis,Orioles,7,28.1,182,285,467,64.9,93.50,29.6,83.30,,,,,5.6,86.20,,,,
Kevin Correia,- - -,142,806,4849,8030,12879,44.2,90.30,6.0,85.60,24.8,88.00,13.0,77.40,12.0,85.60,,,,
Joe Musgrove,- - -,44,251,1219,2649,3868,48.2,92.50,24.7,82.80,8.8,89.20,6.2,80.30,12.1,84.40,,,,
Robert Stephenson,Reds,22,105.2,767,1154,1921,55.4,93.10,18.3,84.60,,,8.3,80.10,18.1,84.80,,,,
Luke French,Mariners,13,79,430,738,1168,66.8,85.80,7.0,78.00,,,,,26.2,76.10,,,,
Dylan Bundy,Orioles,73,413,2380,4548,6928,55.7,92.30,19.5,82.20,,,11.1,75.10,13.7,84.00,,,,
Alfredo Simon,- - -,90,529,3218,5391,8609,51.8,93.50,1.3,89.60,10.5,88.40,12.5,77.50,,,23.8,84.10,,
Ben Lively,Phillies,20,112.1,661,1170,1831,61.1,91.30,12.1,82.10,,,22.1,75.50,4.7,85.10,,,,
Chad Bettis,Rockies,89,494,3077,5017,8094,54.3,91.60,,,15.8,86.20,12.6,75.00,17.4,85.80,,,,
Todd Redmond,- - -,16,76.2,478,847,1325,65.7,90.60,28.3,81.60,,,,,5.9,82.10,,,,
Brandon Workman,Red Sox,18,99,594,1051,1645,57.2,90.60,,,16.7,86.40,20.6,76.20,5.5,83.90,,,,
Chris Narveson,- - -,60,334.1,2138,3497,5635,46.3,88.00,10.0,84.00,,,16.0,73.60,27.7,80.40,,,,
Jason Berken,Cubs,4,18.2,112,185,297,66.7,90.20,21.6,82.60,,,0.3,77.00,11.5,83.30,,,,
Justin Nicolino,Marlins,33,177.1,929,1763,2692,54.8,89.20,,,15.2,86.10,11.6,76.50,18.4,82.20,,,,
Sam LeCure,Reds,10,54,367,566,933,62.9,88.70,15.5,78.60,,,10.5,72.60,11.1,81.30,,,,
Rodrigo Lopez,- - -,49,288,1518,2953,4471,52.9,88.10,20.2,80.60,6.4,88.50,5.1,74.90,15.4,82.70,,,,
David Hess,Orioles,19,100.1,633,1059,1692,58.8,91.90,24.6,80.10,,,7.6,72.20,9.0,83.70,,,,
Brad Penny,- - -,44,256.1,1578,2505,4083,59.6,92.70,2.4,87.80,,,13.6,78.20,7.6,85.00,16.8,88.10,,
Jerome Williams,- - -,78,442,2510,4434,6944,51.2,91.40,,,25.3,88.40,9.3,78.90,14.1,84.20,,,,
Kenshin Kawakami,Braves,16,85.1,549,873,1422,53.5,89.30,,,11.5,86.40,14.9,71.70,,,20.1,83.60,,
Zach Britton,Orioles,46,250,1704,2474,4178,69.7,92.00,15.7,81.70,,,,,14.6,86.10,,,,
Luiz Gohara,Braves,6,33.1,166,344,510,58.0,96.00,31.8,83.60,,,,,10.2,88.10,,,,
Brad Hand,Marlins,43,222,1475,2231,3706,66.9,91.30,2.8,84.20,,,16.7,78.70,13.6,84.10,,,,
Daniel Wright,- - -,9,44.1,296,437,733,51.0,89.20,15.6,81.90,,,16.1,74.60,17.4,82.60,,,,
Matt Wisler,Braves,49,286,1646,2881,4527,59.9,93.00,27.6,82.10,,,5.5,76.60,7.0,86.90,,,,
Tim Adleman,Reds,33,175,1055,1843,2898,61.3,90.40,,,3.4,88.90,16.0,74.60,19.4,84.10,,,,
Brian Duensing,Twins,52,294,1725,2957,4682,59.7,91.20,16.9,82.50,,,8.5,73.40,14.9,84.00,,,,
Daniel Mengden,Athletics,38,211,1225,2216,3441,54.8,92.10,8.0,83.20,11.4,86.20,11.7,73.30,14.1,81.40,,,,
Jamey Wright,- - -,2,3.2,33,49,82,25.6,89.50,2.4,83.00,46.3,87.80,14.6,78.50,11.0,82.80,,,,
Rafael Montero,Mets,30,155.1,1115,1759,2874,59.7,93.00,22.6,83.20,,,,,17.8,87.40,,,,
Luis Cessa,Yankees,19,91.1,533,926,1459,46.5,94.90,31.9,85.00,,,9.0,80.30,12.6,85.90,,,,
Jeanmar Gomez,- - -,46,235,1507,2310,3817,61.7,90.30,18.3,83.90,4.5,87.30,0.3,76.80,15.3,82.50,,,,
Jharel Cotton,Athletics,29,158.1,950,1664,2614,47.2,92.90,,,21.7,88.50,8.5,77.30,22.7,77.70,,,,
Greg Reynolds,- - -,8,43.2,264,430,694,53.9,88.80,,,24.9,85.50,11.8,76.50,9.3,82.40,,,,
Phil Coke,Tigers,15,76.1,446,746,1192,60.7,91.20,21.8,78.70,,,0.8,74.60,16.8,81.20,,,,
Kevin Slowey,- - -,52,283.1,1506,3083,4589,62.4,89.30,16.4,83.00,,,12.2,74.70,9.0,83.50,,,,
Tyler Pill,Mets,3,16.1,115,183,298,51.7,88.90,20.8,82.70,0.3,87.00,10.4,75.50,16.8,79.80,,,,
Carlos Frias,Dodgers,15,78,430,768,1198,56.8,94.40,,,29.0,89.70,5.1,79.70,9.1,87.10,,,,
Joe Blanton,- - -,90,538,2852,5568,8420,49.8,89.70,11.5,83.10,9.3,86.50,9.7,77.20,19.6,82.90,,,,
Robbie Erlin,Padres,37,196.2,1068,2048,3116,60.4,89.80,5.9,83.00,,,17.8,74.30,15.9,82.90,,,,
David Buchanan,Phillies,35,192.1,1128,1919,3047,42.0,90.00,,,26.0,89.10,11.2,77.80,20.8,81.50,,,,
Jason Marquis,- - -,87,483.1,3122,4697,7819,55.0,88.40,23.8,82.40,5.8,86.40,0.1,77.30,10.7,81.00,4.6,77.20,,
Hisanori Takahashi,Mets,12,64.2,388,722,1110,46.9,88.80,13.0,80.20,1.8,85.40,6.6,67.70,31.7,79.10,,,,
Nick Martinez,Rangers,68,373,2402,3862,6264,61.6,91.10,14.0,82.80,3.8,89.40,9.7,77.50,10.9,83.90,,,,
Michael Kopech,White Sox,4,14.1,83,173,256,62.5,95.40,16.8,82.70,,,10.9,78.20,9.8,88.60,,,,
Jake Buchanan,- - -,3,14.1,81,139,220,55.5,88.80,17.7,82.40,,,17.7,76.20,9.1,83.20,,,,
Marc Rzepczynski,Blue Jays,12,62.2,403,659,1062,53.5,89.10,32.4,82.00,,,0.7,79.00,13.4,82.90,,,,
Cesar Vargas,Padres,7,34,249,358,607,67.2,89.40,23.6,79.40,,,6.1,75.60,3.2,80.80,,,,
Sam Gaviglio,- - -,37,189.2,1124,1933,3057,56.2,88.10,25.7,83.00,,,8.2,78.60,9.9,83.10,,,,
Dontrelle Willis,- - -,26,139.1,995,1453,2448,68.1,87.70,18.6,80.80,,,6.9,75.60,6.3,80.00,,,,
Edgar Gonzalez,Astros,6,25,163,263,426,52.2,89.50,18.6,77.90,4.2,84.30,10.1,74.30,14.8,77.00,,,,
Elieser Hernandez,Marlins,6,25,163,270,433,61.9,90.30,21.9,81.60,,,,,16.2,83.80,,,,
Mitch Talbot,Indians,40,223,1464,2280,3744,48.1,90.70,9.7,83.60,26.8,89.50,0.0,,15.4,79.60,,,,
Franklin Morales,- - -,32,169.1,1128,1853,2981,58.4,92.10,18.5,86.80,,,12.6,74.10,10.6,83.00,,,,
Craig Stammen,Nationals,19,105,642,1012,1654,56.2,90.40,23.3,85.30,,,13.4,78.90,7.1,83.70,,,,
Williams Perez,Braves,31,167,995,1664,2659,72.7,90.80,,,,,12.8,76.70,14.5,79.10,,,,
Sal Romano,Reds,41,218.1,1367,2309,3676,64.6,94.60,3.0,88.40,,,25.1,86.40,7.3,88.30,,,,
Armando Galarraga,- - -,37,209.1,1334,2146,3480,54.9,90.40,35.0,86.00,,,0.0,79.00,10.1,83.00,,,,
Luke Hochevar,Royals,80,483.1,2919,4795,7714,54.2,92.90,10.8,84.70,13.5,88.60,14.5,77.60,6.5,83.10,0.5,84.20,,
Drew Hutchison,- - -,79,428.1,2610,4528,7138,66.5,92.00,22.2,84.30,,,,,11.3,85.10,,,,
Joel De La Cruz,Braves,9,46,272,458,730,54.8,91.30,23.2,85.80,,,,,22.1,84.30,,,,
Everett Teaford,Royals,8,40.2,247,424,671,44.3,90.60,,,25.2,86.70,20.1,79.60,10.5,83.50,,,,
Luis Perdomo,Padres,59,323.1,1922,3246,5168,64.7,93.80,27.9,84.20,,,,,7.5,87.20,,,,
Zach Eflin,Phillies,46,255.2,1394,2658,4052,62.1,93.40,22.2,85.30,,,6.7,77.30,9.1,86.40,,,,
Carlos Villanueva,- - -,49,275,1624,2811,4435,47.4,88.30,18.5,81.90,,,12.6,73.40,21.5,80.60,,,,
Juan Nicasio,- - -,82,424.2,2816,4673,7489,71.6,92.70,21.6,84.00,,,,,6.8,84.90,,,,
Adalberto Mendez,Marlins,5,24.2,162,241,403,63.8,91.20,26.4,80.00,,,,,9.8,85.40,,,,
John Gast,Cardinals,3,12.1,70,114,184,63.6,87.00,,,,,8.2,72.50,28.3,78.40,,,,
Dylan Axelrod,- - -,34,179.2,1237,1935,3172,45.4,88.20,30.5,81.80,,,10.9,73.80,13.2,81.00,,,,
Matthew Boyd,- - -,86,452.1,2796,4967,7763,52.8,91.10,19.1,81.90,,,13.6,73.40,14.5,79.70,,,,
Jamie Moyer,- - -,29,165.1,1012,1654,2666,41.9,80.30,,,28.4,77.70,7.7,69.30,22.1,73.30,,,,
Philip Humber,- - -,50,288.1,1659,2973,4632,49.0,90.30,19.4,83.40,,,19.6,79.30,12.0,84.20,,,,
Michael Lorenzen,Reds,24,119.1,816,1245,2061,63.2,94.00,14.5,85.60,3.4,91.20,11.0,80.40,7.8,85.20,,,,
Sean Reid-Foley,Blue Jays,7,33.1,250,386,636,63.2,93.80,23.4,83.70,,,5.5,81.60,7.9,85.30,,,,
Daisuke Matsuzaka,- - -,59,321,2081,3486,5567,51.6,91.10,20.0,80.80,17.3,89.50,3.6,73.90,5.4,80.90,2.3,82.50,,
Chris Volstad,- - -,83,467.1,2897,4658,7555,59.4,91.10,18.2,84.00,,,10.3,78.50,12.1,84.30,,,,
Jose Alvarez,Tigers,6,28,209,296,505,51.7,89.20,16.6,82.10,,,4.4,73.70,27.3,76.60,,,,
Kris Benson,Diamondbacks,3,14,91,155,246,54.9,88.70,26.0,81.40,,,8.1,73.40,11.0,81.30,,,,
Kyle Drabek,Blue Jays,30,161,1319,1616,2935,62.3,93.10,1.0,89.30,16.0,90.70,10.5,81.40,10.2,85.70,,,,
Luis Atilano,Nationals,16,85.2,544,907,1451,67.0,88.40,14.2,78.20,,,3.8,72.60,15.0,80.40,,,,
Brian Moehler,Astros,8,38.1,276,389,665,51.0,85.70,4.6,81.40,17.7,84.50,7.2,77.00,19.6,79.30,,,,
Archie Bradley,Diamondbacks,34,177.1,1252,1968,3220,70.1,92.40,,,,,23.7,80.20,6.2,85.60,,,,
Braden Shipley,Diamondbacks,14,74.2,537,772,1309,57.2,91.40,,,,,24.3,79.60,18.5,84.40,,,,
Hector Noesi,- - -,53,295,1735,3066,4801,54.9,92.80,15.8,86.80,,,7.4,79.80,21.8,86.50,,,,
Henry Owens,Red Sox,16,85,592,885,1477,58.3,89.00,4.6,77.80,,,11.3,71.60,25.8,77.20,,,,
