Name,Team,GS,IP,Balls,Strikes,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv
Chris Rusin,- - -,49,260,1556,2639,4195,45.9,88.80,6.1,81.70,26.6,85.80,5.2,77.90,16.1,80.90,,,,
Mark Leiter,Phillies,11,60.2,371,643,1014,55.9,90.90,2.8,82.70,3.1,88.80,10.0,72.40,10.3,82.60,18.1,84.70,,
Tyler Lyons,Cardinals,20,107.1,574,1105,1679,59.4,89.70,24.1,81.00,,,4.9,75.10,11.6,82.70,,,,
Jeff Francis,- - -,87,460.1,2729,4781,7510,55.0,85.60,0.1,79.10,2.6,84.10,16.4,69.20,25.8,77.30,,,,
Casey Coleman,Cubs,26,136.1,967,1383,2350,59.9,89.60,10.9,80.10,0.1,86.70,13.5,76.40,15.6,81.70,,,,
Brandon Woodruff,Brewers,12,58.2,374,679,1053,62.1,94.30,24.7,86.10,,,0.3,76.70,12.9,84.50,,,,
Jesse Litsch,Blue Jays,17,93,633,940,1573,51.9,89.50,11.6,83.30,16.3,86.60,5.2,76.20,15.1,81.50,,,,
Brian Gordon,Yankees,2,10.1,54,104,158,62.8,88.80,9.8,80.00,6.5,87.20,15.7,69.20,,,5.2,81.30,,
Chris Seddon,Indians,2,10.1,67,103,170,58.6,89.80,16.6,81.80,,,8.3,75.60,16.6,82.20,,,,
Brad Bergesen,Orioles,40,229,1309,2346,3655,64.2,90.30,23.3,82.80,,,1.8,78.50,10.6,82.90,,,,
Henry Sosa,Astros,10,53.1,324,550,874,61.5,93.10,35.8,82.30,,,0.1,78.00,2.5,85.30,,,,
Rich Harden,- - -,33,172,1215,1972,3187,63.5,91.00,1.6,82.20,,,,,34.8,83.00,,,,
Lisalverto Bonilla,- - -,7,37.2,256,351,607,53.8,91.70,6.4,80.60,,,12.1,78.90,27.7,84.00,,,,
Andrew Moore,Mariners,9,51.1,261,526,787,54.0,90.70,13.5,81.50,,,15.9,75.40,16.7,81.30,,,,
Barry Enright,- - -,26,142,809,1432,2241,65.2,89.20,15.0,80.90,,,11.8,75.10,8.0,80.60,,,,
Erik Johnson,- - -,22,117.2,862,1309,2171,60.8,90.80,24.2,85.20,,,7.5,72.60,7.4,81.10,,,,
Tyler Wilson,Orioles,19,104,593,1002,1595,64.3,89.50,20.4,79.50,,,3.8,75.90,11.5,81.60,,,,
Jordan Lyles,- - -,115,635.2,4054,6599,10653,59.1,91.70,9.3,87.00,7.4,86.20,15.3,80.00,8.9,82.30,,,,
Adam Plutko,Indians,12,68,404,719,1123,59.0,91.00,21.0,82.00,,,9.8,75.50,10.2,84.30,,,,
Daniel Bard,Red Sox,10,54.1,383,547,930,62.8,93.10,26.2,80.20,,,,,11.0,86.70,,,,
David Hernandez,Orioles,8,42.1,332,460,792,66.6,93.10,,,,,25.0,80.20,8.4,84.30,,,,
Nick Kingham,Pirates,15,71,443,771,1214,57.3,92.20,18.9,85.40,,,8.3,79.60,15.5,84.50,,,,
Manny Banuelos,Braves,6,25.1,177,277,454,56.8,88.90,10.1,82.70,,,11.5,74.70,21.6,79.50,,,,
Jacob Turner,- - -,56,298.1,1928,2969,4897,63.0,92.10,13.5,85.00,0.5,90.20,14.9,78.50,8.1,85.90,,,,
Chien-Ming Wang,- - -,22,111,650,1061,1711,73.2,90.50,10.5,84.20,,,7.3,77.90,7.2,81.00,1.8,80.40,,
Nick Pivetta,Phillies,58,296,1873,3393,5266,62.1,94.60,16.1,84.30,,,18.6,79.80,3.2,86.90,,,,
Jeff Hoffman,Rockies,23,121,736,1269,2005,64.3,94.30,10.2,83.20,,,17.0,76.70,8.5,86.50,,,,
Dana Eveland,- - -,17,89,598,862,1460,47.5,88.10,16.4,82.30,10.9,88.00,9.5,76.40,15.7,81.90,,,,
Lucas Giolito,- - -,43,234.2,1565,2447,4012,60.5,92.50,13.2,83.90,,,10.8,78.70,15.5,81.80,,,,
Ross Ohlendorf,- - -,46,225.1,1409,2374,3783,62.8,91.30,26.4,80.60,0.1,85.80,,,10.6,82.30,,,,
Shane Greene,- - -,33,173.1,1018,1839,2857,50.1,92.50,13.9,81.20,28.9,87.10,0.5,76.60,6.6,85.80,,,,
Scott Carroll,White Sox,19,106.2,674,1089,1763,59.0,89.60,3.2,81.20,7.6,86.80,13.8,76.60,16.5,82.40,,,,
Mark Hendrickson,Orioles,1,5,19,40,59,52.5,88.20,,,23.7,86.90,20.3,73.50,3.4,81.00,,,,
Graham Godfrey,Athletics,8,40,257,440,697,69.9,89.90,10.7,81.60,,,10.8,76.00,8.6,82.30,,,,
Alex Claudio,Rangers,2,5,29,52,81,58.0,85.70,9.9,76.30,,,,,32.1,70.80,,,,
Chance Adams,Yankees,1,5,30,53,83,72.3,92.80,4.8,83.30,,,21.7,78.10,1.2,85.00,,,,
Jeremy Bonderman,- - -,36,208.1,1256,2090,3346,64.6,89.90,30.7,81.00,,,,,4.7,83.80,,,,
Andre Rienzo,White Sox,21,113.1,815,1184,1999,36.6,90.90,,,36.8,87.10,20.7,77.80,5.4,84.00,0.6,81.50,,
Garrett Mock,Nationals,1,3.1,40,44,84,71.6,88.80,16.1,80.70,,,7.4,75.30,4.9,77.80,,,,
Ryan Weber,- - -,8,40,213,378,591,58.2,89.60,,,4.6,87.90,21.3,76.00,15.9,81.60,,,,
Luis Ortiz,Orioles,1,1.2,17,25,42,61.9,92.30,26.2,84.70,,,,,11.9,85.20,,,,
Tyler Duffey,Twins,37,193,1130,2085,3215,55.6,90.40,0.2,83.00,,,38.7,79.90,5.5,82.50,,,,
Adam Morgan,Phillies,36,194,1115,2019,3134,52.4,90.00,24.4,82.20,,,4.8,75.30,18.5,78.40,,,,
Kyle Lobstein,Tigers,17,92.2,559,916,1475,59.2,87.00,,,19.5,82.30,6.5,75.50,14.8,79.60,,,,
Aneury Rodriguez,Astros,9,46.1,304,452,756,69.9,90.50,20.8,78.60,,,2.8,75.40,6.5,83.90,,,,
Dillon Peters,Marlins,11,56,386,575,961,50.7,91.10,,,,,36.4,77.30,12.9,83.80,,,,
Aaron Cook,- - -,58,317.2,1802,2970,4772,77.0,89.20,9.4,84.80,4.2,89.10,9.4,74.30,0.1,80.40,,,,
Chris O'Grady,Marlins,6,26.1,184,266,450,41.3,87.30,,,35.6,82.40,8.7,74.90,14.4,78.30,,,,
Will Smith,Royals,17,93.2,569,919,1488,59.6,90.40,6.4,80.30,,,22.0,77.60,12.0,85.10,,,,
A.J. Cole,Nationals,19,93.2,630,1053,1683,56.0,92.00,24.2,83.30,,,12.7,77.70,7.1,85.10,,,,
Yohan Pino,- - -,12,65.2,366,722,1088,58.6,88.40,22.8,80.20,,,6.8,73.10,11.9,81.90,,,,
Tim Wakefield,Red Sox,42,252.1,1338,2642,3980,10.8,72.90,,,,,3.2,59.70,,,,,86.0,65.90
Yohan Flande,Rockies,20,101.1,605,1020,1625,59.1,90.50,13.6,83.90,,,,,27.2,85.00,,,,
Nick Blackburn,Twins,71,405,2300,4085,6385,60.5,90.30,,,12.8,87.50,12.4,77.80,14.3,82.80,,,,
Esmil Rogers,- - -,42,221.2,1453,2358,3811,59.3,93.50,18.1,85.90,2.6,90.40,14.4,80.60,5.7,85.60,0.0,87.00,,
John Ely,Dodgers,19,105.2,680,1060,1740,52.0,87.30,,,21.5,85.00,8.4,70.40,18.2,78.40,,,,
Jake Esch,Marlins,3,13,79,135,214,57.6,90.00,31.0,83.90,,,9.1,78.80,2.4,82.40,,,,
P.J. Walters,- - -,23,117,757,1187,1944,51.5,88.70,0.6,75.70,10.3,87.00,24.8,75.70,12.9,78.90,,,,
Brad Mills,- - -,12,60,429,678,1107,59.2,85.90,,,5.2,81.80,13.4,71.70,22.2,75.90,,,,
Josh Outman,- - -,16,77.2,528,806,1334,61.1,92.40,16.5,80.40,,,4.8,74.00,17.6,79.70,,,,
Andrew Werner,Padres,8,40.1,236,430,666,49.6,87.90,12.8,80.10,,,7.4,72.50,30.2,81.20,,,,
Josh Stinson,- - -,2,9.2,54,82,136,60.3,91.40,13.2,86.60,,,12.5,76.50,14.0,84.40,,,,
Brian Tallet,Blue Jays,5,27.1,173,272,445,44.1,88.10,11.1,77.80,27.8,85.60,,,17.0,82.10,,,,
Christian Friedrich,- - -,42,226.1,1399,2388,3787,57.3,90.40,17.7,83.00,,,17.0,76.40,8.0,83.80,,,,
Paolo Espino,Brewers,2,8,58,94,152,51.3,88.70,13.8,80.70,,,24.3,72.30,10.5,82.40,,,,
Kendry Flores,Marlins,2,8,59,85,144,60.0,91.00,1.4,83.00,15.0,84.80,12.1,75.30,11.4,83.30,,,,
Yunesky Maya,Nationals,10,51,298,551,849,54.3,89.00,19.6,80.90,,,13.0,69.60,10.1,81.50,3.1,81.00,,
Brad Lincoln,Pirates,22,116.1,669,1179,1848,66.4,91.80,,,,,23.5,81.60,9.0,84.00,1.1,84.40,,
Eddie Butler,- - -,39,192.2,1272,1977,3249,63.6,93.10,15.7,87.70,,,8.7,80.80,12.0,87.20,,,,
Jo-Jo Reyes,- - -,25,133.2,811,1447,2258,72.2,89.90,11.1,83.80,,,3.8,77.40,12.9,83.20,,,,
Anthony Swarzak,Twins,20,105,587,1087,1674,67.7,91.40,13.8,82.40,,,8.2,78.60,10.3,82.20,,,,
Casey Kelly,- - -,12,58.2,355,627,982,60.7,91.00,5.3,86.10,,,23.9,80.90,10.0,85.40,,,,
Esmerling Vasquez,Twins,6,31.2,220,327,547,48.3,90.80,14.1,78.70,,,9.5,74.20,28.2,81.90,,,,
Jorge Sosa,Marlins,2,6.1,61,77,138,36.6,91.60,39.7,84.80,,,,,23.7,84.70,,,,
Joe Martinez,Giants,1,6.1,32,58,90,68.9,89.20,,,,,16.7,79.10,14.4,77.40,,,,
Logan Verrett,Mets,16,82.1,484,870,1354,55.6,89.70,21.2,82.90,,,9.0,76.80,14.2,83.70,,,,
Kyle Davies,Royals,45,245,1774,2532,4306,47.7,92.40,,,23.0,88.60,13.5,78.00,15.9,83.10,,,,
Andy Sonnanstine,Rays,8,36.1,246,384,630,8.3,87.30,16.5,79.30,57.9,84.80,16.5,74.70,0.8,81.30,,,,
Robbie Ross Jr.,Rangers,12,60,386,683,1069,74.7,90.50,12.0,83.80,,,7.3,76.10,5.9,85.20,,,,
Nate Robertson,Marlins,18,94.2,595,966,1561,60.4,87.80,20.4,81.10,,,3.4,74.70,15.9,81.80,,,,
Christian Bergman,- - -,25,129.1,699,1365,2064,50.7,88.80,24.6,85.20,,,10.2,77.10,14.6,81.10,,,,
Ariel Jurado,Rangers,8,41,233,396,629,72.3,91.80,9.7,85.00,,,8.0,78.00,10.0,84.70,,,,
Zach Duke,- - -,39,213.1,1288,2239,3527,59.0,87.20,9.6,79.00,,,16.0,72.70,15.4,81.10,,,,
Zach Neal,Athletics,6,31.1,145,287,432,58.8,89.80,22.2,85.30,,,2.6,73.30,16.4,82.00,,,,
Brian Matusz,- - -,61,313,1995,3534,5529,61.1,89.90,11.0,82.90,,,11.2,75.70,16.7,82.00,,,,
Liam Hendriks,- - -,42,179.2,1143,1971,3114,67.8,90.60,14.3,82.70,,,9.6,73.40,8.3,82.60,,,,
Dustin McGowan,- - -,13,59.1,424,645,1069,67.7,92.70,19.4,86.50,,,2.7,79.80,10.2,86.10,,,,
Lucas Sims,Braves,10,51.1,325,559,884,46.8,91.60,26.2,86.40,,,13.0,76.20,13.9,83.60,,,,
Chase De Jong,- - -,8,37.1,238,375,613,56.1,89.60,15.2,80.90,,,11.6,76.70,17.1,83.10,,,,
Merandy Gonzalez,Marlins,1,4.2,39,58,97,46.4,92.70,,,,,33.0,77.00,20.6,83.80,,,,
Zach Miner,Phillies,3,9.1,89,109,198,58.6,92.30,13.1,83.70,,,4.0,76.00,24.2,82.70,,,,
Alex White,- - -,30,144,1073,1518,2591,69.7,91.60,16.9,83.70,,,,,,,13.4,86.80,,
David Huff,- - -,34,168.2,1088,1886,2974,65.1,90.80,5.3,82.00,3.2,88.80,7.6,77.60,18.9,81.60,,,,
Keyvius Sampson,Reds,14,60.1,474,731,1205,61.2,92.30,14.0,86.90,,,14.1,76.80,10.6,84.60,,,,
Todd Wellemeyer,Giants,11,55.2,371,562,933,67.8,90.20,20.7,82.50,,,4.0,76.40,3.2,79.80,4.4,78.40,,
Blake Hawksworth,Cardinals,8,41.2,268,439,707,58.8,92.60,,,6.1,88.00,8.5,77.30,26.6,83.50,,,,
Trevor May,Twins,26,127.2,764,1399,2163,60.6,92.10,8.0,83.20,,,13.9,76.60,17.6,84.30,,,,
Scott Olsen,Nationals,15,75,434,802,1236,49.9,89.60,30.8,81.70,,,,,19.3,83.20,,,,
Carlos Monasterios,Dodgers,13,53.1,378,586,964,65.8,89.90,8.8,81.80,,,10.0,75.50,15.5,77.60,,,,
Brock Stewart,Dodgers,11,45.2,282,526,808,63.1,92.60,15.8,85.10,,,,,21.1,81.60,,,,
Daniel Gossett,Athletics,23,115.2,735,1239,1974,52.5,91.80,23.8,84.60,,,13.3,78.60,10.4,84.40,,,,
Sergio Mitre,Yankees,3,13.2,96,124,220,72.3,88.80,5.0,81.00,,,6.8,77.10,15.9,81.90,,,,
Tyler Glasnow,- - -,28,129,890,1405,2295,65.7,95.20,5.4,84.90,,,20.9,80.30,8.1,89.10,,,,
Oliver Perez,Mets,7,33.1,278,385,663,64.5,88.10,20.4,76.60,,,,,15.1,84.40,,,,
Josh Lindblom,- - -,6,31.2,223,354,577,50.2,90.10,24.5,83.90,,,13.0,69.60,12.3,82.90,,,,
Scott Atchison,Red Sox,1,3,17,35,52,51.9,91.30,36.5,86.80,,,9.6,77.40,1.9,85.00,,,,
Jeff Manship,- - -,5,27,172,265,437,56.3,89.30,20.1,81.90,,,11.8,79.10,11.8,83.40,,,,
Chris Beck,White Sox,1,6,37,64,101,54.5,91.80,12.9,84.90,,,3.0,77.00,29.7,83.40,,,,
Eric Skoglund,Royals,18,82,498,850,1348,61.0,91.20,3.2,85.60,,,24.6,80.80,11.3,85.50,,,,
Dallas Beeler,Cubs,5,19.1,150,208,358,43.8,89.50,,,36.4,88.40,14.6,78.80,,,5.2,84.80,,
Jeff Brigham,Marlins,4,16.1,129,187,316,61.1,92.90,30.4,80.00,,,,,8.5,85.90,,,,
Joe Biagini,Blue Jays,22,106.2,652,1170,1822,52.6,93.30,11.3,89.30,,,21.0,78.20,15.2,85.80,,,,
Sean O'Sullivan,- - -,46,250.1,1602,2600,4202,56.9,90.50,16.0,79.20,0.3,86.50,11.5,75.80,15.4,79.10,,,,
Chad Green,Yankees,9,38.1,277,446,723,53.9,94.30,29.2,84.10,14.1,90.10,,,2.8,85.90,,,,
Josh Smith,Reds,9,38.1,295,455,750,49.9,90.10,26.0,84.00,,,14.2,77.20,10.0,79.40,,,,
Ian Snell,Mariners,8,35.1,265,413,678,63.1,90.90,14.3,84.60,,,6.7,79.30,15.9,85.10,,,,
John Maine,Mets,9,39.2,313,466,779,75.0,88.70,12.5,82.70,,,0.4,78.30,12.1,82.90,,,,
Jorge Lopez,- - -,9,44,272,487,759,55.7,93.50,9.5,87.00,,,22.4,81.10,12.4,87.70,,,,
Aaron Slegers,Twins,5,22,118,208,326,66.9,90.30,21.5,83.20,,,,,11.7,84.40,,,,
Tony Pena,White Sox,3,19,103,194,297,51.2,93.80,23.4,85.30,,,2.8,79.30,22.7,84.10,,,,
Allen Webster,- - -,23,112.1,744,1120,1864,61.1,92.40,13.9,84.20,,,1.9,77.30,23.1,84.20,,,,
Tyler Cloyd,Phillies,17,87.1,533,953,1486,48.0,86.30,,,31.4,84.20,11.2,76.60,9.4,80.50,,,,
Manny Parra,Brewers,16,84.1,599,950,1549,55.8,92.50,4.0,84.40,,,16.1,77.60,6.7,84.50,17.4,84.90,,
Domingo German,Yankees,14,68.1,412,758,1170,48.6,94.60,,,,,35.7,81.80,15.7,87.60,,,,
Nate Adcock,Royals,5,20.1,116,209,325,67.4,90.70,15.1,84.40,,,4.9,81.50,12.6,85.90,,,,
Clay Hensley,Marlins,9,42,271,423,694,59.3,86.40,15.2,79.10,,,10.6,68.80,15.0,80.80,,,,
Greg Smith,Rockies,8,39,276,430,706,47.0,86.00,16.8,81.60,,,9.6,72.80,26.6,78.10,,,,
John Lamb,- - -,27,129.2,882,1496,2378,53.0,90.10,0.0,79.00,19.4,85.50,11.0,68.20,16.6,75.50,,,,
Alec Asher,- - -,18,86.1,538,925,1463,56.9,90.60,11.9,83.70,9.2,88.20,10.3,79.10,11.7,82.10,,,,
Dylan Covey,White Sox,33,168.1,1104,1745,2849,61.0,93.50,13.6,86.60,3.9,90.70,9.9,80.10,,,11.6,84.50,,
Jackson Stephens,Reds,4,18.2,117,217,334,62.2,93.30,11.1,84.50,,,20.7,76.40,6.0,84.90,,,,
Zach Lee,- - -,2,10,75,105,180,51.1,89.90,26.1,87.20,,,10.0,73.40,12.8,83.50,,,,
Tyrell Jenkins,Braves,8,40,303,387,690,66.6,90.80,,,,,14.4,79.00,19.0,81.80,,,,
Brian Bannister,Royals,23,126.2,856,1284,2140,33.9,90.00,,,33.9,88.10,12.6,75.30,19.6,84.40,,,,
Jose De Leon,Dodgers,4,17,113,189,302,66.1,91.60,11.4,80.40,,,1.3,74.30,21.1,81.50,,,,
Bryan Bullington,Royals,5,28.1,175,296,471,63.9,92.20,28.5,82.50,,,0.7,76.70,6.9,86.80,,,,
Artie Lewicki,Tigers,4,18.1,113,203,316,55.2,91.40,22.9,85.80,,,16.2,77.10,5.7,83.30,,,,
Mike Wright,Orioles,23,111,781,1207,1988,68.9,93.00,17.5,82.50,2.0,88.90,2.6,77.20,9.0,80.50,,,,
David Holmberg,- - -,19,84,656,910,1566,56.1,87.80,9.3,79.80,,,9.6,73.10,25.0,81.40,,,,
Joe Wieland,- - -,10,49,333,528,861,60.2,90.40,5.7,81.00,,,20.5,77.10,13.7,84.00,,,,
Erick Fedde,Nationals,14,65.2,496,747,1243,56.1,93.50,11.0,81.50,12.5,87.80,8.4,77.20,12.1,87.20,,,,
Hiram Burgos,Brewers,6,29.1,196,338,534,50.0,87.80,,,11.4,83.10,22.3,70.80,16.3,80.40,,,,
Fernando Abad,Astros,6,22.1,161,261,422,56.9,89.30,,,,,32.2,77.60,10.9,75.80,,,,
Spencer Turnbull,Tigers,3,15.1,94,178,272,63.6,94.10,13.2,88.70,,,18.4,81.10,4.8,87.40,,,,
Daniel McCutchen,Pirates,9,43,294,445,739,56.8,89.80,14.7,83.50,,,6.6,78.40,,,22.0,81.90,,
Anthony Ranaudo,- - -,14,73.1,481,804,1285,61.6,91.30,6.9,82.80,,,22.9,78.60,8.6,83.60,,,,
Matt Magill,Dodgers,6,27.2,236,313,549,57.3,90.80,31.0,84.00,,,5.7,79.70,6.1,82.20,,,,
Chris Schwinden,Mets,6,29,202,323,525,50.7,89.00,,,22.0,86.40,14.5,74.60,12.9,81.50,,,,
Matt Palmer,Angels,4,20.2,136,210,346,38.6,89.70,,,33.9,87.70,21.5,76.50,5.9,84.20,,,,
Ethan Martin,Phillies,8,33,270,376,646,64.0,92.90,20.3,84.70,,,9.4,75.20,6.4,85.30,,,,
Zeke Spruill,Diamondbacks,3,12.1,80,141,221,70.1,91.30,17.7,81.40,,,9.5,74.50,2.7,83.30,,,,
Andrew Miller,- - -,19,86,658,968,1626,61.5,91.80,20.6,77.90,,,,,17.9,83.00,,,,
Kohl Stewart,Twins,4,16.1,143,188,331,72.5,92.90,4.5,88.90,,,14.2,78.80,8.8,87.90,,,,
Phil Klein,- - -,4,16.1,101,203,304,57.1,90.90,26.7,84.90,,,4.6,79.70,11.6,84.50,,,,
Brandon Maurer,Mariners,21,102,678,1062,1740,51.8,92.30,20.5,86.30,7.5,89.70,9.4,74.40,10.8,84.70,,,,
Wesley Wright,Astros,4,19,128,216,344,60.0,88.40,9.1,81.20,,,22.7,76.10,8.2,83.00,,,,
Tyler Cravy,Brewers,9,38,270,397,667,54.2,90.50,14.7,84.20,,,8.6,78.30,22.5,84.10,,,,
Gil Meche,Royals,9,48.2,384,555,939,54.8,92.50,17.8,87.00,,,17.7,77.40,9.7,84.40,,,,
Johnny Hellweg,Brewers,7,29.2,262,326,588,78.4,93.80,,,,,13.4,79.70,8.2,84.70,,,,
Carson Fulmer,White Sox,13,49.2,405,573,978,54.4,93.00,,,22.8,88.50,9.3,81.00,13.5,86.20,,,,
Justin Grimm,Rangers,19,96,631,1025,1656,58.8,91.40,2.2,84.70,,,28.0,77.80,11.0,82.70,,,,
Tom Wilhelmsen,Mariners,2,4,35,56,91,71.4,95.70,,,7.7,88.60,11.0,79.60,9.9,88.20,,,,
Ranger Suarez,Phillies,3,12,74,117,191,59.2,91.80,17.8,82.40,,,2.6,77.80,20.4,84.50,,,,
Brett Kennedy,Padres,6,26.2,204,299,503,67.4,91.40,23.3,82.40,,,0.8,78.30,8.6,82.90,,,,
Austin Voth,Nationals,2,9.1,61,111,172,61.6,91.40,10.5,86.70,,,18.0,78.60,9.9,85.50,,,,
Enyel De Los Santos,Phillies,2,10.2,63,110,173,62.4,93.90,4.1,80.40,,,13.9,77.00,19.7,86.80,,,,
Jefry Rodriguez,Nationals,8,38.2,286,417,703,65.2,95.40,,,,,21.5,81.00,13.4,89.40,,,,
Scott Alexander,Dodgers,1,1.1,8,11,19,94.7,93.20,5.3,86.00,,,,,,,,,,
Jon Moscot,Reds,8,33,232,369,601,53.9,90.90,24.0,82.60,,,11.2,76.60,10.9,81.80,,,,
Sean Nolin,- - -,7,30.1,213,321,534,53.9,87.00,11.1,82.20,5.1,83.20,11.4,73.80,18.6,76.70,,,,
Charlie Furbush,- - -,12,59.1,388,644,1032,57.9,90.70,,,10.1,80.60,20.1,76.10,11.9,80.40,,,,
Pat Dean,Twins,9,43.1,291,447,738,60.4,89.20,19.3,85.00,,,9.0,76.50,11.3,84.00,,,,
Cody Reed,Reds,18,81,575,918,1493,51.0,92.60,38.0,87.20,,,,,11.0,86.00,,,,
Rob Whalen,- - -,6,30,213,327,540,66.0,89.10,21.0,80.60,,,5.4,75.20,7.6,82.40,,,,
Alfredo Figaro,- - -,6,30,168,335,503,61.2,94.90,23.5,82.20,,,10.3,80.20,5.0,84.90,,,,
Yefry Ramirez,Orioles,12,53.1,437,622,1059,52.4,92.50,22.1,87.20,,,,,25.5,86.10,,,,
Ross Wolf,Rangers,3,13,74,126,200,63.5,90.00,9.0,80.30,,,,,27.5,85.40,,,,
Ryan Rowland-Smith,Mariners,20,101.1,625,1058,1683,58.1,88.30,7.7,78.80,,,12.4,70.90,21.9,79.60,,,,
Anthony Banda,- - -,5,24.2,142,244,386,64.3,94.10,,,,,15.0,80.80,20.7,85.90,,,,
Chris Smith,Athletics,9,46.2,341,469,810,53.3,85.30,25.8,76.60,,,,,20.9,74.50,,,,
Ramon Ortiz,- - -,8,33.2,241,379,620,42.0,89.70,40.0,82.20,,,,,18.1,84.10,,,,
Doug Davis,- - -,17,84,678,976,1654,31.4,84.40,,,40.1,81.30,16.9,69.10,11.6,77.90,,,,
Jacob Nix,Padres,9,42.1,234,422,656,62.5,93.00,3.7,81.10,,,19.7,76.80,14.2,80.50,,,,
David Paulino,Astros,7,32,226,373,599,46.7,92.50,19.8,82.10,,,19.1,75.60,14.4,82.10,,,,
Kris Johnson,- - -,4,15.1,122,186,308,65.9,91.60,14.3,83.00,2.0,83.30,2.3,75.60,15.6,84.00,,,,
Andrew Oliver,Tigers,7,31.2,259,345,604,64.6,93.90,26.1,83.60,,,,,9.3,84.90,,,,
Chad Reineke,Reds,1,6.1,47,52,99,50.5,87.10,42.4,79.40,,,,,7.1,79.40,,,,
Eric Surkamp,- - -,16,68,509,754,1263,52.7,88.40,,,16.0,85.60,21.3,76.80,9.9,80.20,,,,
Drew Anderson,Phillies,1,5,30,64,94,58.5,92.70,26.6,84.00,,,8.5,73.80,6.4,84.20,,,,
Kolby Allard,Braves,1,5,33,48,81,66.7,89.10,,,,,11.1,73.10,22.2,80.00,,,,
Luis Perez,Blue Jays,4,18.2,140,205,345,74.6,92.40,14.3,82.50,,,,,11.1,82.60,,,,
Raul Alcantara,Athletics,9,37.1,261,410,671,64.5,94.00,5.8,87.20,7.0,88.80,3.4,81.30,19.2,85.60,,,,
Tyler Wagner,Brewers,3,13.2,98,149,247,44.1,89.70,10.9,78.00,26.7,88.90,,,18.2,84.40,,,,
Phil Irwin,- - -,2,8.2,73,103,176,59.7,89.00,,,,,31.3,80.90,9.1,82.40,,,,
Yohander Mendez,Rangers,5,21,165,219,384,59.5,91.80,14.4,84.10,,,4.7,78.70,21.4,82.70,,,,
D.J. Carrasco,Mets,1,3.2,39,47,86,22.1,88.40,14.0,78.50,33.7,85.70,19.8,74.90,10.5,82.90,,,,
Chris Jakubauskas,- - -,7,28,181,309,490,66.9,89.60,7.1,86.10,,,22.0,76.40,4.0,81.10,,,,
Billy Buckner,- - -,6,26.2,184,290,474,55.0,87.60,,,4.3,84.10,22.4,78.10,18.3,81.30,,,,
Justin Germano,- - -,13,63,389,672,1061,52.5,86.30,6.1,78.40,,,31.8,70.40,9.6,81.40,,,,
Ryan Carpenter,Tigers,5,21.2,149,257,406,51.7,89.90,27.6,80.60,,,10.1,76.40,10.6,82.10,,,,
Amir Garrett,Reds,14,67.1,452,738,1190,61.9,91.60,22.1,79.30,,,,,16.1,80.70,,,,
Dustin Nippert,Rangers,2,6,55,101,156,69.2,94.00,0.6,84.00,,,14.1,75.70,16.0,82.60,,,,
Zach Stewart,- - -,14,74.1,427,773,1200,63.4,90.60,23.6,83.80,,,6.2,76.90,6.8,83.30,,,,
Aaron Brooks,- - -,10,49,300,516,816,59.9,91.50,15.2,85.30,,,4.4,77.50,20.5,82.40,,,,
Adam Ottavino,Cardinals,3,14.1,104,162,266,74.5,92.50,11.4,83.20,,,,,14.1,85.20,,,,
Caleb Ferguson,Dodgers,3,10.2,76,130,206,73.3,92.70,,,,,21.4,74.70,5.3,85.50,,,,
Matt Maloney,Reds,4,15.1,106,202,308,54.8,87.10,12.9,82.60,,,3.3,73.60,29.0,78.70,,,,
Deck McGuire,- - -,6,17.2,141,222,363,56.5,92.60,19.6,83.70,,,11.3,76.20,12.7,86.30,,,,
James Russell,- - -,6,22.1,136,270,406,52.6,87.00,26.4,78.70,0.8,86.70,6.5,74.20,13.7,79.80,,,,
Sean West,Marlins,2,9.1,59,99,158,53.3,90.30,27.6,80.90,,,,,19.1,82.10,,,,
Glen Perkins,Twins,1,4.2,27,46,73,77.8,92.20,13.9,82.90,,,,,8.3,85.20,,,,
Sergio Romo,Rays,5,4.2,41,59,100,37.0,86.30,59.0,76.30,,,,,4.0,80.50,,,,
Kyle Weiland,- - -,8,39.1,295,414,709,57.4,91.80,,,23.5,85.70,11.3,77.90,7.8,83.60,,,,
Clay Holmes,Pirates,4,15,123,152,275,69.5,94.80,,,11.3,88.60,14.6,81.80,4.7,86.40,,,,
Pedro Hernandez,- - -,14,61,441,668,1109,57.7,88.60,,,15.6,84.00,8.3,74.90,18.4,82.90,,,,
Aaron Blair,Braves,16,73,516,773,1289,58.1,90.90,1.5,81.70,,,21.8,78.40,18.6,84.70,,,,
Severino Gonzalez,Phillies,7,30.2,187,366,553,66.6,88.90,14.3,77.40,0.5,87.00,3.4,76.60,15.2,82.90,,,,
Rudy Owens,Astros,1,5.2,32,59,91,62.6,87.70,,,,,17.6,77.20,19.8,77.60,,,,
Casey Lawrence,Blue Jays,2,11.1,71,121,192,62.5,90.70,10.9,81.50,,,5.2,77.00,21.4,82.30,,,,
Buck Farmer,Tigers,20,85.2,603,996,1599,60.2,92.00,16.5,80.70,0.4,86.30,2.9,77.80,19.9,85.10,,,,
Trevor Oaks,Royals,2,9,57,103,160,54.4,89.30,28.8,81.70,11.9,85.80,,,5.0,82.40,,,,
