GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
20,110.1,,621,1198,1819,,,0.47,0.09,,0.42,0.02,,,90.20,77.00,,74.10,82.30,,
20,121.2,,718,1148,1866,,,0.62,0.15,,,,0.23,,93.10,82.00,,,,84.80,
20,123.1,,723,1245,1968,,,0.56,0.28,,0.13,0.03,,,92.90,87.50,,81.40,87.60,,
20,121,,661,1289,1950,,,0.62,,0.16,0.14,0.08,,,96.80,,89.90,81.90,88.10,,
20,107,,696,1158,1854,,,0.66,0.16,0.02,,0.16,,,93.50,85.70,90.40,,87.30,,
20,111,,608,1188,1796,,,0.58,,,0.34,0.09,,,90.10,,,76.30,81.70,,
20,117,,646,1166,1812,,,0.68,0.24,,,0.08,,,93.50,82.80,,,87.10,,
20,105.1,,649,1160,1809,,,0.61,0.14,,0.15,0.10,,,91.70,80.90,,77.40,82.90,,
20,106.2,,644,1135,1779,,,0.56,,0.25,0.09,0.11,,,89.10,,86.00,74.30,82.60,,
20,101,,637,1103,1740,,,0.63,,0.20,0.12,0.06,,,93.00,,88.40,79.10,86.10,,
21,149,,636,1426,2062,,,0.51,0.33,,0.16,0.00,,,93.10,87.90,,73.20,87.40,,
21,116,,686,1253,1939,,,0.67,0.18,,0.10,0.06,,,95.20,87.70,,81.10,88.10,,
21,116.2,,708,1173,1881,,,0.41,,0.22,0.19,0.17,0.01,,92.00,,88.60,77.80,80.70,85.80,
21,117,,675,1271,1946,,,0.47,0.18,0.08,0.04,,0.23,,97.00,86.00,93.10,74.70,,88.40,
21,108.2,,634,1195,1829,,,0.45,0.11,0.31,0.06,0.08,,,88.80,79.10,85.00,78.50,83.10,,
21,109.2,,680,1208,1888,,,0.50,0.26,,0.06,0.19,,,90.70,82.80,,75.80,78.90,,
22,132.1,,713,1440,2153,,,0.62,0.10,,0.16,0.12,,,93.60,87.30,,78.20,83.20,,
22,123.1,,712,1408,2120,,,0.63,0.19,,0.10,0.08,,,95.20,85.50,,78.40,85.20,,
22,123.1,,644,1274,1918,,,0.61,0.17,,0.11,0.12,,,90.70,84.30,,74.70,83.50,,
22,115.1,,701,1209,1910,,,0.53,0.20,0.09,0.11,0.08,,,90.50,82.10,87.40,78.20,83.90,,
22,112.2,,789,1186,1975,,,0.70,0.09,,0.05,,0.16,,92.80,84.00,,73.00,,81.20,
22,117,,736,1211,1947,,,0.62,0.12,0.03,0.16,0.08,,,92.70,85.00,90.20,80.90,87.90,,
23,133.2,,730,1347,2077,,,0.48,0.23,,0.10,,0.20,,91.50,86.80,,77.20,,84.40,
23,128.1,,773,1356,2129,,,0.53,0.21,,0.21,0.06,,,89.20,82.40,,76.70,83.30,,
23,127.2,,842,1290,2132,,,0.63,0.31,,0.02,0.05,,,94.80,84.70,,81.90,85.10,,
23,119,,773,1290,2063,,,0.54,0.18,,0.19,0.09,,,87.70,83.20,,66.70,80.80,,
23,118,,871,1236,2107,,,0.56,0.27,,0.12,0.06,,,89.50,86.30,,77.10,83.00,,
24,148,,804,1549,2353,,,0.60,0.19,,0.11,0.11,,,93.40,88.60,,80.40,85.70,,
24,156.2,,921,1575,2496,,,0.15,,,0.03,,,0.82,83.20,,,66.30,,,73.20
24,147.2,,799,1586,2385,,,0.57,0.17,,0.13,0.13,,,94.90,89.20,,81.50,88.80,,
24,139.2,,691,1409,2100,,,0.58,0.14,,,0.28,,,92.30,80.20,,,84.70,,
24,131,,798,1415,2213,,,0.65,0.13,,0.10,0.13,,,93.70,83.70,,79.20,87.40,,
24,132.1,,799,1411,2210,,,0.53,,0.17,0.09,0.22,,,93.10,,90.10,74.30,84.80,,
24,132.1,,861,1322,2183,,,0.64,0.26,,,0.11,,,91.40,80.30,,,84.70,,
24,126,,889,1353,2242,,,0.36,,0.21,0.09,0.34,,,90.10,,86.20,73.20,81.50,,
25,146.1,,760,1487,2247,,,0.53,0.16,,0.15,0.17,,,93.80,87.50,,83.50,89.20,,
25,153.1,,918,1535,2453,,,0.46,0.06,,0.19,0.28,,,90.50,84.50,,79.20,87.20,,
25,133.1,,854,1420,2274,,,0.65,0.19,,0.00,0.16,,,91.00,85.00,,71.00,82.40,,
25,137.1,,898,1506,2404,,,0.68,0.08,,0.05,0.19,,,94.70,85.00,,80.70,85.90,,
25,134.1,,815,1496,2311,,,0.61,,0.08,0.11,0.20,,,93.90,,87.90,76.00,88.30,,
25,147.1,,951,1517,2468,,,0.56,0.22,,0.05,0.18,,,91.00,83.70,,78.90,82.50,,
25,132,,891,1426,2317,,,0.57,0.16,,0.07,0.05,0.16,,89.90,82.20,,74.90,81.70,84.00,
26,159,,891,1582,2473,,,0.57,0.26,,,0.17,,,94.80,87.90,,,86.10,,
26,161.2,,804,1635,2439,,,0.57,0.25,,,0.18,,,94.50,83.40,,,85.10,,
26,148,,724,1402,2126,,,0.64,,0.03,0.29,0.04,,,92.60,,86.90,80.10,86.40,,
26,158.2,,870,1633,2503,,,0.48,0.21,,0.10,0.21,,,91.30,85.30,,74.50,87.70,,
26,168,,996,1674,2670,,,0.50,0.26,0.14,,0.09,,,88.60,78.00,85.70,,79.40,,
26,136.1,,887,1505,2392,,,0.55,0.09,0.09,0.07,0.20,,,91.40,81.00,87.50,77.30,76.80,,
26,141.2,,983,1593,2576,,,0.69,,,0.24,0.07,,,92.40,,,80.00,85.70,,
26,155.2,,889,1543,2432,,,0.59,0.29,,0.06,0.06,,,92.80,82.00,,76.80,87.20,,
26,138.2,,862,1485,2347,,,0.57,0.14,0.03,0.09,0.17,,,91.00,84.00,88.40,77.20,83.20,,
26,133,,792,1486,2278,,,0.55,,,0.39,0.07,,,90.40,,,80.40,82.40,,
27,158,,1010,1536,2546,,,0.71,,0.22,0.05,0.02,,,92.20,,87.10,76.60,83.70,,
27,160,,823,1653,2476,,,0.49,0.13,,0.01,0.00,0.36,,91.50,82.80,,74.90,84.00,84.60,
27,131.2,,918,1450,2368,,,0.65,0.21,,0.08,0.07,,,93.50,87.00,,81.40,85.10,,
28,163.1,,933,1655,2588,,,0.56,,0.13,0.11,0.21,,,89.30,,85.40,72.30,78.50,,
28,165,,1043,1752,2795,,,0.64,0.26,,,0.11,,,93.40,86.70,,,83.60,,
28,173.2,,1047,1748,2795,,,0.50,,0.17,0.20,0.13,0.00,,93.10,,88.80,76.90,86.40,87.00,
29,182.1,,1024,1916,2940,,,0.54,0.27,,0.07,0.13,,,95.20,84.10,,82.70,88.30,,
29,188.1,,981,1872,2853,,,0.58,0.24,,0.12,0.05,,,91.70,83.20,,78.10,84.30,,
29,176,,1066,1777,2843,,,0.50,,0.12,0.10,0.29,,,88.10,,85.70,76.00,77.00,,
29,173,,836,1763,2599,,,0.38,,0.40,0.15,0.08,,,87.70,,85.40,75.10,83.30,,
29,169.1,,967,1764,2731,,,0.12,,,0.01,0.04,,0.84,82.30,,,70.40,70.80,,76.10
29,168,,986,1807,2793,,,0.55,0.27,,0.11,0.07,,,95.10,88.60,,77.90,85.20,,
29,161,,1097,1657,2754,,,0.51,0.30,,,0.19,,,92.70,85.40,,,85.30,,
30,188,,988,1868,2856,,,0.65,,,0.08,0.27,,,87.80,,,75.50,80.10,,
30,182.2,,941,1977,2918,,,0.59,0.21,,0.09,0.11,,,97.90,90.90,,82.40,89.80,,
30,192,,1091,1828,2919,,,0.74,,0.00,0.16,0.09,,,94.70,,93.30,78.10,88.30,,
30,188,,1032,1939,2971,,,0.56,0.26,,0.09,0.08,,,90.90,81.00,,71.70,82.10,,
30,169.1,,1042,1778,2820,,,0.48,,0.13,0.39,0.00,,,90.30,,85.80,79.20,82.30,,
30,181.1,,1124,1807,2931,,,0.53,0.37,,,0.11,,,92.70,83.40,,,84.90,,
30,179.2,,1113,2000,3113,,,0.66,0.13,,,0.04,0.17,,94.70,79.70,,,84.00,84.70,
30,172,,1117,1819,2936,,,0.57,,0.16,0.12,0.15,,,91.70,,85.70,75.30,83.70,,
30,166.2,,929,1694,2623,,,0.52,0.35,,0.10,0.03,,,92.10,84.90,,76.80,84.60,,
30,179.2,,1047,1863,2910,,,0.34,0.25,0.29,,0.12,,,90.00,80.10,88.50,,83.50,,
30,149.2,,1010,1593,2603,,,0.57,,0.06,0.14,0.24,,,91.10,,88.20,76.60,81.70,,
30,164.2,,984,1727,2711,,,0.42,0.07,0.14,0.19,0.19,,,89.60,81.30,86.30,73.90,82.50,,
30,176.2,,897,1762,2659,,,0.48,0.09,0.29,0.06,0.08,,,90.60,80.90,89.30,78.40,84.90,,
30,165.2,,910,1588,2498,,,0.63,,0.16,0.03,0.19,,,90.50,,81.10,70.80,82.10,,
30,175.1,,1027,1866,2893,,,0.57,,0.14,0.23,0.06,,,90.20,,85.10,75.80,80.10,,
30,166,,960,1772,2732,,,0.51,0.20,,0.12,0.18,,,90.30,84.10,,77.00,82.40,,
31,195.1,,1067,1961,3028,,,0.58,0.19,,0.04,0.18,,,95.60,85.50,,81.40,86.90,,
31,199.2,,966,1969,2935,,,0.32,0.26,0.08,0.05,,0.29,,90.60,83.70,88.30,75.40,,86.60,
31,197.1,,1152,1972,3124,,,0.66,,0.18,0.12,0.05,,,93.70,,89.20,80.60,88.50,,
31,183,,1052,1866,2918,,,0.51,0.26,,0.05,0.19,,,89.20,83.00,,72.50,82.30,,
31,172,,1134,1750,2884,,,0.66,0.21,,,0.13,,,91.70,83.70,,,84.20,,
