"Season","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","G","GS","IP","Balls","Strikes","Pitches","Start-IP","Starting","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)"
"2010","59.3 %","91.5","13.6 %","83.4","5.5 %","87.7","8.7 %","77.1","11.2 %","82.5","1.1 %","85.0","0.6 %","67.4","1.7 %","8412","2268","20217.0","123139","207647","330786","13699.4","1644.0","40.6 %","","5.7 %","1.1 %","","7.4 %","13.3 %","8.6 %","0.3 %","","12.1 %","0.0 %","0.6 %","","91.9","90.4","88.4","85.4","","90.3","83.5","77.1","82.0","","82.6","68.4","66.9"
"2011","58.5 %","91.8","13.6 %","83.5","6.0 %","87.5","9.5 %","77.4","10.6 %","82.8","1.3 %","84.5","0.7 %","65.8","0.7 %","8372","2268","20283.1","121953","209452","331405","13720.6","1575.7","39.6 %","","6.0 %","1.1 %","","7.5 %","14.5 %","8.9 %","0.4 %","","11.0 %","0.0 %","0.6 %","0.0 %","92.0","91.2","88.5","84.6","","90.5","83.5","77.3","82.4","","82.9","68.6","65.8"
"2012","58.1 %","91.9","13.9 %","83.2","6.2 %","87.8","10.0 %","77.5","10.2 %","83.4","1.6 %","84.5","","","0.5 %","8865","2268","20285.0","120713","209569","330282","13310.6","1393.7","35.9 %","","5.4 %","1.3 %","","8.3 %","15.5 %","9.8 %","0.0 %","0.0 %","10.6 %","0.0 %","0.0 %","0.0 %","92.0","91.8","88.9","84.3","","90.6","83.4","77.5","81.1","55.1","83.5","74.6","72.9"
"2013","57.2 %","91.8","14.0 %","83.3","6.0 %","87.6","9.7 %","77.5","10.5 %","83.2","1.7 %","83.9","0.9 %","75.7","0.5 %","9445","2432","21806.0","131178","227361","358539","14289.6","1500.5","35.7 %","","5.4 %","1.1 %","0.1 %","6.9 %","15.5 %","9.3 %","0.4 %","0.1 %","10.8 %","0.0 %","0.9 %","0.0 %","92.0","91.3","88.8","83.3","86.5","91.2","83.4","77.5","78.8","66.8","83.2","75.5","75.8"
"2014","56.4 %","91.7","13.3 %","83.3","6.5 %","87.6","9.9 %","77.7","10.9 %","83.3","2.1 %","84.2","0.9 %","75.7","0.5 %","9656","2430","21798.2","128379","227276","355655","14365.1","1551.5","35.2 %","","5.7 %","1.8 %","0.2 %","6.1 %","14.3 %","8.6 %","1.8 %","0.1 %","10.9 %","0.0 %","0.9 %","0.0 %","91.9","91.5","88.4","84.1","85.1","90.5","83.6","77.7","79.6","65.6","83.3","76.5","75.9"
"2015","56.0 %","92.1","14.9 %","83.9","5.5 %","87.9","8.9 %","78.0","11.3 %","83.4","2.2 %","84.2","1.1 %","75.3","0.4 %","9754","2428","21694.1","126971","225383","352354","14168.7","1625.6","36.6 %","","5.4 %","2.3 %","0.1 %","6.0 %","14.7 %","7.7 %","2.0 %","0.0 %","11.0 %","0.0 %","1.1 %","0.0 %","92.2","91.8","88.7","84.7","86.1","90.7","83.9","77.6","80.7","65.5","83.1","78.1","75.8"
"2016","55.0 %","92.2","14.4 %","83.7","6.2 %","87.9","10.6 %","78.0","10.7 %","83.4","1.9 %","84.1","1.3 %","74.6","0.3 %","9729","2428","21611.0","129309","227015","356324","13782.6","1485.2","35.3 %","","5.2 %","2.1 %","0.1 %","6.2 %","14.6 %","8.6 %","2.6 %","0.0 %","10.9 %","0.0 %","1.2 %","0.0 %","92.4","92.0","88.3","84.3","87.0","90.9","83.8","77.5","80.5","66.0","83.4","78.5","75.0"
"2017","54.0 %","92.7","16.9 %","84.3","5.9 %","88.5","10.7 %","78.9","10.8 %","83.8","1.6 %","84.1","0.1 %","72.7","0.4 %","10166","2430","21630.2","132019","229163","361182","13326.3","1488.7","34.3 %","","4.5 %","1.8 %","","5.6 %","17.3 %","8.2 %","3.1 %","0.0 %","10.5 %","0.0 %","0.1 %","0.0 %","93.1","92.3","88.6","84.2","","91.2","84.5","78.6","80.1","68.6","83.9","79.3","73.1"
