"Season","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","G","GS","IP","Balls","Strikes","Pitches","Start-IP","Starting","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)"
"2010","58.1 %","91.0","15.9 %","83.2","4.0 %","87.1","9.3 %","75.6","10.4 %","81.9","1.6 %","84.3","0.7 %","75.0","1.6 %","10374","2592","23088.1","141306","238306","379612","15295.1","1686.0","38.6 %","","4.6 %","1.2 %","0.1 %","10.6 %","15.3 %","9.0 %","","0.0 %","11.5 %","0.0 %","0.7 %","0.0 %","91.2","90.5","87.2","84.7","79.5","89.9","83.0","75.8","","56.2","82.2","65.9","74.9"
"2011","57.2 %","91.2","15.6 %","83.4","5.5 %","87.5","9.3 %","76.1","10.2 %","82.2","1.6 %","84.1","0.6 %","76.1","0.9 %","10379","2590","23244.0","138438","238002","376440","15515.5","1668.0","35.8 %","","4.7 %","1.2 %","0.1 %","10.3 %","17.1 %","9.0 %","","0.0 %","10.6 %","0.0 %","0.6 %","0.0 %","91.5","90.5","88.2","85.0","78.6","90.1","83.5","76.1","","56.5","82.4","66.4","76.0"
"2012","57.2 %","91.3","14.8 %","83.1","5.4 %","87.2","10.7 %","76.6","9.5 %","82.1","1.7 %","84.3","0.8 %","77.1","0.6 %","10519","2592","23070.1","137071","237968","375039","15238.7","1688.6","33.3 %","","5.8 %","1.4 %","0.0 %","10.0 %","15.8 %","10.2 %","0.3 %","0.0 %","9.9 %","","0.8 %","0.0 %","91.6","90.9","87.6","84.3","79.8","90.1","83.3","76.5","81.6","56.1","82.3","","77.2"
"2013","58.4 %","91.6","15.0 %","83.2","5.5 %","87.5","9.8 %","77.2","9.8 %","82.6","1.6 %","83.6","","","0.6 %","9753","2430","21847.1","127496","223881","351377","14316.5","1520.1","35.4 %","","5.5 %","1.3 %","","8.6 %","15.8 %","9.2 %","0.8 %","0.0 %","9.8 %","","0.0 %","0.0 %","92.0","91.4","87.9","83.9","","90.1","83.5","76.9","80.8","61.9","82.5","","71.1"
"2014","59.1 %","91.9","14.2 %","84.0","5.8 %","87.7","9.9 %","77.2","9.8 %","83.3","1.2 %","84.1","","","0.6 %","9664","2430","21815.0","125759","223562","349321","14556.2","1495.9","35.1 %","","5.9 %","1.1 %","","8.6 %","14.8 %","8.7 %","1.6 %","0.1 %","9.4 %","0.0 %","0.0 %","0.0 %","92.2","91.5","87.9","83.8","","90.7","84.2","77.1","79.4","65.6","83.1","69.4","73.5"
"2015","59.5 %","92.2","14.6 %","84.2","5.6 %","87.6","9.4 %","77.9","10.3 %","83.6","0.7 %","83.9","","","0.6 %","10210","2430","21713.1","126152","223801","349953","13985.8","1495.5","36.8 %","","5.2 %","0.8 %","","8.5 %","14.7 %","7.9 %","2.2 %","0.1 %","9.8 %","","0.0 %","0.0 %","92.6","91.7","87.2","83.2","","90.9","84.5","77.9","79.7","68.3","83.4","","68.5"
"2016","58.5 %","92.4","15.9 %","84.5","5.2 %","87.8","9.8 %","77.8","9.9 %","83.8","0.8 %","85.4","0.0 %","62.2","0.7 %","10430","2428","21695.1","131600","227899","359499","13560.3","1581.7","37.5 %","","4.5 %","0.9 %","0.0 %","6.8 %","16.0 %","9.0 %","1.6 %","0.0 %","9.8 %","","0.0 %","0.0 %","92.8","91.9","87.9","84.7","80.1","91.7","84.7","77.8","79.8","63.1","83.8","","60.5"
"2017","57.3 %","93.0","15.6 %","84.5","5.1 %","88.5","10.4 %","78.3","9.9 %","84.6","1.1 %","84.7","0.6 %","77.2","0.6 %","10351","2430","21626.1","130939","229128","360067","13388.0","1580.2","37.4 %","","4.9 %","1.1 %","0.1 %","5.6 %","15.7 %","9.0 %","1.6 %","0.0 %","10.0 %","","0.7 %","0.1 %","93.3","92.5","88.4","85.3","86.1","91.6","84.7","77.7","81.2","64.9","84.6","","77.2"
