GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
19,85.1,,702,951,1653,,,0.50,0.03,0.23,0.09,0.15,,,90.70,83.60,85.50,75.70,83.60,,
20,110.1,,648,1185,1833,,,0.57,0.28,,0.14,0.01,,,96.00,89.70,,80.20,87.10,,
20,117.1,,611,1092,1703,,,0.44,0.21,0.26,,0.10,,,92.40,79.50,90.10,,84.40,,
20,111,,702,1149,1851,,,0.73,0.22,,0.02,0.04,,,94.30,82.80,,77.70,84.90,,
20,105.1,,670,1121,1791,,,0.60,,0.05,0.14,0.20,,,90.10,,88.90,73.80,84.10,,
20,100.2,,627,1069,1696,,,0.64,0.16,,0.01,0.18,,,89.50,84.80,,79.10,82.40,,
21,114,,771,1175,1946,,,0.54,0.19,,0.12,0.16,,,92.40,81.20,,75.20,86.90,,
21,111.2,,681,1225,1906,,,0.50,0.39,,0.07,0.04,,,92.00,81.60,,77.30,81.00,,
21,98,,645,1107,1752,,,0.56,0.14,,0.12,0.18,,,92.50,85.40,,81.60,83.40,,
21,114.1,,734,1207,1941,,,0.55,0.40,,,0.05,,,95.00,85.70,,,90.00,,
21,111.1,,718,1191,1909,,,0.33,,0.36,0.27,,0.04,,89.50,,88.20,75.40,,81.70,
21,117,,785,1231,2016,,,0.39,,0.26,0.25,0.11,,,90.00,,85.90,76.40,82.50,,
21,113.1,,725,1164,1889,,,0.33,0.14,0.28,0.09,0.16,,,91.90,84.00,90.30,76.10,85.20,,
21,100.1,,778,1121,1899,,,0.59,0.11,,0.15,,0.15,,91.70,82.80,,69.70,,81.10,
22,118.2,,747,1267,2014,,,0.40,0.00,,0.47,0.12,,,94.20,88.20,,85.60,88.80,,
22,112,,697,1183,1880,,,0.61,0.22,,0.10,0.07,,,91.90,82.50,,73.90,84.10,,
22,115.2,,732,1258,1990,,,0.63,0.15,,0.12,0.10,,,92.60,88.70,,80.10,85.20,,
22,114.2,,813,1231,2044,,,0.51,0.21,,0.18,0.10,,,92.30,89.20,,80.70,86.30,,
23,145.2,,839,1355,2194,,,0.58,0.19,0.10,,0.13,,,88.70,78.50,86.70,,78.60,,
23,119.1,,731,1230,1961,,,0.54,0.09,0.03,0.22,0.13,,,89.20,82.70,88.50,74.40,83.00,,
23,121.1,,792,1332,2124,,,0.46,,0.24,0.27,0.03,,,89.70,,84.40,72.40,81.50,,
24,136,,790,1478,2268,,,0.66,,0.10,0.21,0.03,,,95.40,,88.80,80.40,86.50,,
24,139.2,,822,1454,2276,,,0.64,,,0.08,0.28,,,85.80,,,72.20,78.80,,
24,146.1,,756,1521,2277,,,0.47,0.29,,0.01,0.23,,,92.80,83.00,,72.70,83.60,,
24,122.2,,768,1309,2077,,,0.37,0.04,0.18,0.16,0.25,,,90.30,78.10,86.60,71.60,80.90,,
24,129.1,,919,1359,2278,,,0.55,0.14,,0.10,0.21,,,94.30,86.00,,79.30,86.40,,
24,142.1,,816,1409,2225,,,0.51,0.33,,0.16,,0.00,,95.50,88.00,,79.00,,87.50,
24,148,,881,1431,2312,,,0.48,,0.19,0.13,0.21,,,92.00,,88.80,79.10,83.20,,
