team_id,team_name,team_abbr,game_id,at_away,at_home,scheduled,rescheduled
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,b18c2a84-5d1e-402a-befb-c113bf3c2a12,0,1,2018-05-10,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,68dcceff-cb6d-43e7-8d2c-db54b879dc64,0,1,2018-05-11,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,84556aaa-d7ed-4272-8ede-b9828d7b749f,0,1,2018-05-12,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,90d01345-a8db-4e3a-8d78-7934104319ba,0,1,2018-05-13,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,2ac31f6b-3579-4bb1-ba0c-74426b29fe7d,0,1,2018-05-14,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,8ec7a114-3f4a-4b71-ad89-d8f95edd2dae,0,1,2018-05-15,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,9e4c7bbb-d0cb-44f4-b84d-04393d84c2d2,0,1,2018-05-16,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,039ee1c5-58f0-4ddd-9b46-5bf8c2e27813,0,1,2018-05-17,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,2dc75786-a715-46d7-8c9b-ec042e97ca41,0,1,2018-05-18,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,128e2a6c-1615-413d-80e2-789cfe63b3f7,0,1,2018-05-19,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,51f398c6-04f4-4414-89d9-204010c74e7d,0,1,2018-05-20,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,815d6e8a-ebaa-4ef5-ad39-eabfd3f07b33,1,0,2018-05-22,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,8a7bf294-7deb-4b58-938a-a96f396d2d92,1,0,2018-05-23,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,8b297212-c872-490a-b2a2-4e2e028d8a09,1,0,2018-05-24,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,15985ffb-9b2d-4114-9d51-122dbff83343,1,0,2018-05-25,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,80cd61cb-b4ef-4b03-b664-6ec29d1eac66,1,0,2018-05-26,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,b4e5bea5-a618-43fa-8e60-4ae02fd1a561,1,0,2018-05-27,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,31569d22-ad3c-4470-abc2-6b46e71eb0fb,1,0,2018-05-28,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,4aa45028-5d93-4555-acc7-0422ae7b6119,1,0,2018-05-29,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,e98598a8-e372-4645-91f3-b06ee09e614d,1,0,2018-05-30,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,b8ff2565-84e7-4987-9f16-79bb6a141b6a,1,0,2018-05-31,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,212b7317-c3eb-4c2a-80f4-6616d636af1d,0,1,2018-06-01,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,a284ecb2-fff6-4fa1-9e22-59c730398112,0,1,2018-06-02,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,4beccf7e-b6b7-4fc6-a56d-335019bd647b,0,1,2018-06-03,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,54687b6c-d696-4e11-926a-6c259423e65b,0,1,2018-06-04,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,4c93a0c7-b344-43b8-8a53-336a0221d1a3,0,1,2018-06-05,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,ca4286b6-4028-4a22-93a5-e754a6916c33,0,1,2018-06-06,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,b7c95f8d-b10a-404a-9ea2-352aae4d6501,1,0,2018-06-08,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,443f4f67-7cb3-4ef5-b80f-f2bff029cd70,1,0,2018-06-09,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,20d182c8-1de0-4e78-9964-1ff31746ec99,1,0,2018-06-10,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,5cdbb5d6-97e9-41db-906b-af34c0447ddb,1,0,2018-06-11,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,45a52eab-a1bd-4859-9c3d-6932f3c1f054,1,0,2018-06-12,
4f735188-37c8-473d-ae32-1f7e34ccf892,Angels,LAA,3d364a84-71fe-4f6b-87b3-aedb7b91af85,1,0,2018-06-13,
