count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
1,1,3,2,02,Buster Posey called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kKL,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,15,83.0,SL,-17,-86,8,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
1,2,4,3,02,Buster Posey called out on strikes.,,True,False,False,False,False,False,False,False,T,,,,,,,1,04,kKL,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,16,87.0,SL,-152,-91,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
0,2,1,1,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kKL,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,17,92.0,FA,82,-91,9,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
0,2,2,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kKS,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,18,87.0,CH,170,-91,11,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
1,2,3,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,19,92.0,FA,-64,160,10,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
2,2,4,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bDB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,20,74.0,CU,58,-191,12,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
3,2,5,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,bDB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,21,88.0,FA,-76,-182,12,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
3,2,6,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,22,89.0,FA,-5,-82,8,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
3,2,7,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,False,False,False,False,False,False,False,False,T,,,,,,,1,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,23,88.0,FA,-111,-147,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
3,3,8,2,02,Brandon Crawford pops out to Paul Goldschmidt.,,True,False,False,False,False,False,False,False,T,34,PU,,,,,1,04,oPO,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,24,92.0,FA,-129,-60,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Hunter,2ff4584d-de32-4be0-be6b-b0afa6607d4c,8,Pence,False,,Hunter,1.0,2.0,False,,2.0,,,,,,,,,2017
