Empty,count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
,1.0,1.0,1.0,0.0,07,"Isiah Kiner-Falefa grounds out to shortstop, José Iglesias to John Hicks.",,False,False,False,False,False,False,False,False,B,,,Isiah,283f2c57-6441-4173-b5a0-728e46b8c894,Kiner-Falefa,Isiah,2.0,05,bB,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,16.0,96.0,FA,-58.0,-191.0,12.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,1.0,2.0,2.0,0.0,07,"Isiah Kiner-Falefa grounds out to shortstop, José Iglesias to John Hicks.",,True,False,False,False,False,False,False,False,B,22,GB,Isiah,283f2c57-6441-4173-b5a0-728e46b8c894,Kiner-Falefa,Isiah,2.0,05,oGO,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,17.0,96.0,FA,64.0,-47.0,9.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,0.0,2.0,1.0,1.0,07,Ronald Guzman walks.,,False,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,kF,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,18.0,96.0,FA,-76.0,130.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,1.0,2.0,2.0,1.0,07,Ronald Guzman walks.,,False,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,19.0,86.0,SL,-147.0,-139.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,1.0,2.0,3.0,2.0,07,Ronald Guzman walks.,,False,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,kF,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,20.0,96.0,FA,-82.0,139.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,2.0,2.0,4.0,2.0,07,Ronald Guzman walks.,,False,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,21.0,97.0,FA,-58.0,156.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,3.0,2.0,5.0,2.0,07,Ronald Guzman walks.,,False,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,22.0,97.0,FA,-152.0,-78.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,4.0,2.0,6.0,2.0,07,Ronald Guzman walks.,,True,False,False,False,False,False,False,False,B,,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,Guzman,Ronald,2.0,05,bB,Michael,L,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,23.0,96.0,FA,-141.0,-69.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,67,Guzman,False,AD1,Ronald,0.0,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,0.0,2.0,1.0,1.0,07,Robinson Chirinos pops out to shallow right field to Dixon Machado.,,False,False,False,False,False,False,False,False,B,,,Robinson,2ec3abd0-bbdd-441d-8400-d539d96e7fbf,Chirinos,Robinson,2.0,05,kKL,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,24.0,95.0,FA,100.0,39.0,3.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,67,Guzman,False,,Ronald,1.0,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
,0.0,3.0,2.0,1.0,07,Robinson Chirinos pops out to shallow right field to Dixon Machado.,,True,False,False,False,False,False,False,False,B,20,PU,Robinson,2ec3abd0-bbdd-441d-8400-d539d96e7fbf,Chirinos,Robinson,2.0,05,oPO,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,25.0,85.0,SL,-17.0,-43.0,8.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,1.0,,Ronald,01e9f128-fd74-474c-a053-10b65a52a7d5,67,Guzman,False,,Ronald,1.0,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:26:38.000Z,90.0,SSE,8.0,2018
